"Iter","name","value","ID","variable","Time","simdata"
0,"Ccpt_out_1.1",0.212571,"0","Ccpt_out",0.25,0.249
0,"Ccpt_out_1.2",0.36831,"0","Ccpt_out",0.5,0.34
0,"Ccpt_out_1.3",0.556616,"0","Ccpt_out",1,0.584
0,"Ccpt_out_1.4",0.652735,"0","Ccpt_out",2,0.592
0,"Ccpt_out_1.5",0.49463,"0","Ccpt_out",4,0.526
0,"Ccpt_out_1.6",0.312618,"0","Ccpt_out",6,0.313
0,"Ccpt_out_1.7",0.189759,"0","Ccpt_out",8,0.195
0,"Ccpt_out_1.8",0.0683053,"0","Ccpt_out",12,0.0813
0,"Ccpt_out_1.9",0.00314065,"0","Ccpt_out",24,0.00346
0,"Ccpt_out_1.10",0.000144673,"0","Ccpt_out",36,0.00013
0,"Ccpt_out_1.11",6.62835e-06,"0","Ccpt_out",48,4.47e-06
0,"Cmet_out_1.1",0.00322751,"0","Cmet_out",0.25,0.00254
0,"Cmet_out_1.2",0.0112587,"0","Cmet_out",0.5,0.0131
0,"Cmet_out_1.3",0.0343691,"0","Cmet_out",1,0.0439
0,"Cmet_out_1.4",0.0811517,"0","Cmet_out",2,0.0921
0,"Cmet_out_1.5",0.118905,"0","Cmet_out",4,0.112
0,"Cmet_out_1.6",0.104006,"0","Cmet_out",6,0.102
0,"Cmet_out_1.7",0.0756367,"0","Cmet_out",8,0.07
0,"Cmet_out_1.8",0.0322009,"0","Cmet_out",12,0.0277
0,"Cmet_out_1.9",0.00162687,"0","Cmet_out",24,0.0014
0,"Cmet_out_1.10",7.53496e-05,"0","Cmet_out",36,8.71e-05
0,"Cmet_out_1.11",3.45357e-06,"0","Cmet_out",48,3.57e-06
0,"Qu_out_1.1",0.160817,"0","Qu_out",0.25,0.161
0,"Qu_out_1.2",0.585267,"0","Qu_out",0.5,0.69
0,"Qu_out_1.3",1.95096,"0","Qu_out",1,1.98
0,"Qu_out_1.4",5.55866,"0","Qu_out",2,6.1
0,"Qu_out_1.5",12.3283,"0","Qu_out",4,15.6
0,"Qu_out_1.6",16.9285,"0","Qu_out",6,19.2
0,"Qu_out_1.7",19.7693,"0","Qu_out",8,22.6
0,"Qu_out_1.8",22.512,"0","Qu_out",12,24.8
0,"Qu_out_1.9",23.9758,"0","Qu_out",24,26.2
0,"Qu_out_1.10",24.0431,"0","Qu_out",36,26.3
0,"Qu_out_1.11",24.0462,"0","Qu_out",48,26.3
0,"Q_fec_out_1.1",8.65178,"0","Q_fec_out",0.25,8.65
0,"Q_fec_out_1.2",15.5281,"0","Q_fec_out",0.5,14.9
0,"Q_fec_out_1.3",25.3369,"0","Q_fec_out",1,27.5
0,"Q_fec_out_1.4",35.4467,"0","Q_fec_out",2,36.6
0,"Q_fec_out_1.5",41.0904,"0","Q_fec_out",4,40.8
0,"Q_fec_out_1.6",41.989,"0","Q_fec_out",6,41.6
0,"Q_fec_out_1.7",42.1322,"0","Q_fec_out",8,41.8
0,"Q_fec_out_1.8",42.1586,"0","Q_fec_out",12,41.8
0,"Q_fec_out_1.9",42.1593,"0","Q_fec_out",24,41.8
0,"Q_fec_out_1.10",42.1593,"0","Q_fec_out",36,41.8
0,"Q_fec_out_1.11",42.1593,"0","Q_fec_out",48,41.8
0,"Qu_met_out_1.1",0.00912973,"0","Qu_met_out",0.25,0.00913
0,"Qu_met_out_1.2",0.0659727,"0","Qu_met_out",0.5,0.103
0,"Qu_met_out_1.3",0.432335,"0","Qu_met_out",1,0.423
0,"Qu_met_out_1.4",2.35887,"0","Qu_met_out",2,2.85
0,"Qu_met_out_1.5",9.33594,"0","Qu_met_out",4,9.56
0,"Qu_met_out_1.6",16.8021,"0","Qu_met_out",6,18.3
0,"Qu_met_out_1.7",22.7009,"0","Qu_met_out",8,24.4
0,"Qu_met_out_1.8",29.4742,"0","Qu_met_out",12,30.5
0,"Qu_met_out_1.9",33.586,"0","Qu_met_out",24,34.1
0,"Qu_met_out_1.10",33.7848,"0","Qu_met_out",36,34.3
0,"Qu_met_out_1.11",33.794,"0","Qu_met_out",48,34.3
1,"Ccpt_out_1.1",0.344936,"1","Ccpt_out",0.25,0.308
1,"Ccpt_out_1.2",0.545295,"1","Ccpt_out",0.5,0.433
1,"Ccpt_out_1.3",0.706531,"1","Ccpt_out",1,0.824
1,"Ccpt_out_1.4",0.67449,"1","Ccpt_out",2,0.583
1,"Ccpt_out_1.5",0.437908,"1","Ccpt_out",4,0.687
1,"Ccpt_out_1.6",0.272714,"1","Ccpt_out",6,0.348
1,"Ccpt_out_1.7",0.169529,"1","Ccpt_out",8,0.148
1,"Ccpt_out_1.8",0.0655013,"1","Ccpt_out",12,0.0589
1,"Ccpt_out_1.9",0.00377631,"1","Ccpt_out",24,0.00283
1,"Ccpt_out_1.10",0.000217743,"1","Ccpt_out",36,0.000173
1,"Ccpt_out_1.11",1.2586e-05,"1","Ccpt_out",48,1.15e-05
1,"Cmet_out_1.1",0.00655731,"1","Cmet_out",0.25,0.00668
1,"Cmet_out_1.2",0.0214361,"1","Cmet_out",0.5,0.0168
1,"Cmet_out_1.3",0.0583815,"1","Cmet_out",1,0.0664
1,"Cmet_out_1.4",0.115777,"1","Cmet_out",2,0.162
1,"Cmet_out_1.5",0.138751,"1","Cmet_out",4,0.142
1,"Cmet_out_1.6",0.110813,"1","Cmet_out",6,0.0928
1,"Cmet_out_1.7",0.0776779,"1","Cmet_out",8,0.0879
1,"Cmet_out_1.8",0.03309,"1","Cmet_out",12,0.0356
1,"Cmet_out_1.9",0.00199209,"1","Cmet_out",24,0.00129
1,"Cmet_out_1.10",0.00011505,"1","Cmet_out",36,0.000138
1,"Cmet_out_1.11",6.65048e-06,"1","Cmet_out",48,6.63e-06
1,"Qu_out_1.1",0.214778,"1","Qu_out",0.25,0.215
1,"Qu_out_1.2",0.735666,"1","Qu_out",0.5,0.919
1,"Qu_out_1.3",2.21391,"1","Qu_out",1,2.48
1,"Qu_out_1.4",5.4643,"1","Qu_out",2,5.78
1,"Qu_out_1.5",10.5363,"1","Qu_out",4,11.1
1,"Qu_out_1.6",13.7353,"1","Qu_out",6,14
1,"Qu_out_1.7",15.7251,"1","Qu_out",8,16.3
1,"Qu_out_1.8",17.7307,"1","Qu_out",12,18.4
1,"Qu_out_1.9",18.9208,"1","Qu_out",24,19.4
1,"Qu_out_1.10",18.9894,"1","Qu_out",36,19.4
1,"Qu_out_1.11",18.9933,"1","Qu_out",48,19.4
1,"Q_fec_out_1.1",9.43906,"1","Q_fec_out",0.25,9.44
1,"Q_fec_out_1.2",15.4665,"1","Q_fec_out",0.5,15.5
1,"Q_fec_out_1.3",21.7731,"1","Q_fec_out",1,21.5
1,"Q_fec_out_1.4",25.3929,"1","Q_fec_out",2,25.6
1,"Q_fec_out_1.5",26.0952,"1","Q_fec_out",4,26.4
1,"Q_fec_out_1.6",26.1146,"1","Q_fec_out",6,26.4
1,"Q_fec_out_1.7",26.1151,"1","Q_fec_out",8,26.4
1,"Q_fec_out_1.8",26.1151,"1","Q_fec_out",12,26.4
1,"Q_fec_out_1.9",26.1151,"1","Q_fec_out",24,26.4
1,"Q_fec_out_1.10",26.1151,"1","Q_fec_out",36,26.4
1,"Q_fec_out_1.11",26.1151,"1","Q_fec_out",48,26.4
1,"Qu_met_out_1.1",0.0268386,"1","Qu_met_out",0.25,0.0268
1,"Qu_met_out_1.2",0.184695,"1","Qu_met_out",0.5,0.181
1,"Qu_met_out_1.3",1.11082,"1","Qu_met_out",1,1.3
1,"Qu_met_out_1.4",5.3064,"1","Qu_met_out",2,5.15
1,"Qu_met_out_1.5",17.8838,"1","Qu_met_out",4,21
1,"Qu_met_out_1.6",29.6592,"1","Qu_met_out",6,33.3
1,"Qu_met_out_1.7",38.4104,"1","Qu_met_out",8,41.4
1,"Qu_met_out_1.8",48.2449,"1","Qu_met_out",12,51.5
1,"Qu_met_out_1.9",54.5005,"1","Qu_met_out",24,57.6
1,"Qu_met_out_1.10",54.8687,"1","Qu_met_out",36,58
1,"Qu_met_out_1.11",54.89,"1","Qu_met_out",48,58
2,"Ccpt_out_1.1",0.114622,"2","Ccpt_out",0.25,0.148
2,"Ccpt_out_1.2",0.203573,"2","Ccpt_out",0.5,0.182
2,"Ccpt_out_1.3",0.321464,"2","Ccpt_out",1,0.382
2,"Ccpt_out_1.4",0.402776,"2","Ccpt_out",2,0.356
2,"Ccpt_out_1.5",0.322361,"2","Ccpt_out",4,0.294
2,"Ccpt_out_1.6",0.198324,"2","Ccpt_out",6,0.216
2,"Ccpt_out_1.7",0.110981,"2","Ccpt_out",8,0.121
2,"Ccpt_out_1.8",0.0311399,"2","Ccpt_out",12,0.0345
2,"Ccpt_out_1.9",0.000565862,"2","Ccpt_out",24,0.000525
2,"Ccpt_out_1.10",9.9428e-06,"2","Ccpt_out",36,9.5e-06
2,"Ccpt_out_1.11",1.67373e-07,"2","Ccpt_out",48,1.53e-07
2,"Cmet_out_1.1",0.00286057,"2","Cmet_out",0.25,0.00221
2,"Cmet_out_1.2",0.00996385,"2","Cmet_out",0.5,0.00826
2,"Cmet_out_1.3",0.0302588,"2","Cmet_out",1,0.0333
2,"Cmet_out_1.4",0.0701125,"2","Cmet_out",2,0.0758
2,"Cmet_out_1.5",0.0960245,"2","Cmet_out",4,0.0944
2,"Cmet_out_1.6",0.0760801,"2","Cmet_out",6,0.09
2,"Cmet_out_1.7",0.0489754,"2","Cmet_out",8,0.042
2,"Cmet_out_1.8",0.0156773,"2","Cmet_out",12,0.0152
2,"Cmet_out_1.9",0.000305847,"2","Cmet_out",24,0.000295
2,"Cmet_out_1.10",5.39071e-06,"2","Cmet_out",36,4.95e-06
