"iter" "M_lnFgutabs.1." "M_lnkgutelim.1." "M_lnktot.1." "M_lnkufrac.1." "M_lnkumet.1." "M_lnVdist.1." "M_lnVdistmet.1." "SD_lnFgutabs.1." "SD_lnkgutelim.1." "SD_lnktot.1." "SD_lnkufrac.1." "SD_lnkumet.1." "SD_lnVdist.1." "SD_lnVdistmet.1." "GSD_Ccpt.1." "GSD_Cmet.1." "GSD_Qu.1." "GSD_Q_fec.1." "GSD_Qu_met.1." "lnFgutabs.1.1." "lnkgutelim.1.1." "lnktot.1.1." "lnkufrac.1.1." "lnkumet.1.1." "lnVdist.1.1." "lnVdistmet.1.1." "lnFgutabs.1.2." "lnkgutelim.1.2." "lnktot.1.2." "lnkufrac.1.2." "lnkumet.1.2." "lnVdist.1.2." "lnVdistmet.1.2." "lnFgutabs.1.3." "lnkgutelim.1.3." "lnktot.1.3." "lnkufrac.1.3." "lnkumet.1.3." "lnVdist.1.3." "lnVdistmet.1.3." "lnFgutabs.1.4." "lnkgutelim.1.4." "lnktot.1.4." "lnkufrac.1.4." "lnkumet.1.4." "lnVdist.1.4." "lnVdistmet.1.4." "lnFgutabs.1.5." "lnkgutelim.1.5." "lnktot.1.5." "lnkufrac.1.5." "lnkumet.1.5." "lnVdist.1.5." "lnVdistmet.1.5." "lnFgutabs.1.6." "lnkgutelim.1.6." "lnktot.1.6." "lnkufrac.1.6." "lnkumet.1.6." "lnVdist.1.6." "lnVdistmet.1.6." "lnFgutabs.1.7." "lnkgutelim.1.7." "lnktot.1.7." "lnkufrac.1.7." "lnkumet.1.7." "lnVdist.1.7." "lnVdistmet.1.7." "lnFgutabs.1.8." "lnkgutelim.1.8." "lnktot.1.8." "lnkufrac.1.8." "lnkumet.1.8." "lnVdist.1.8." "lnVdistmet.1.8." "LnPrior" "LnData" "LnPosterior"
35100 -0.496595 -1.19328 -1.21229 -1.16859 -0.455803 0.0119491 -0.0430573 0.206925 0.196006 0.226576 0.144958 0.208956 0.144372 0.131627 1.19982 1.25204 1.10664 1.10281 1.10135 -0.149805 1.22937 -0.701577 2.29735 -0.648393 -1.06621 -0.733525 0.862629 1.8994 -0.875217 -0.452223 -0.402267 -0.353136 0.438581 -0.165513 -1.00382 0.588852 -1.06644 1.17361 0.00826447 1.13269 -0.398157 -0.286421 -0.43179 0.319338 -0.331799 0.520001 0.0837551 -1.25476 0.268956 0.774464 0.869122 0.308432 -2.44112 0.567026 0.0828737 -0.147763 -0.218065 0.280456 0.105501 0.744984 -0.734835 -0.645198 -0.0643044 0.400969 0.734602 -0.129621 -0.356451 -1.4068 -1.7794 2.14474 1.72435 1.37823 -1.83484 0.448951 -1.97929 -76.7085 547.3863 470.6778
29350 -0.570675 -1.26317 -1.07491 -1.03335 -0.578962 0.0190536 0.127362 0.111635 0.315116 0.198187 0.15535 0.157045 0.181457 0.180335 1.19582 1.21599 1.11709 1.10267 1.10848 0.477601 1.08925 -1.34462 0.950898 -0.715938 -1.62478 -0.209851 2.27011 1.78307 -1.78899 -1.8641 -0.0610556 0.668588 0.143368 0.422116 -0.564811 0.0652738 -1.90097 2.14029 -0.435893 -0.5274 0.114301 0.0927847 -1.18276 -0.256582 -0.53184 0.301402 -0.264908 -1.30091 -0.0654076 0.2359 0.082167 2.1478 -1.39002 -0.617121 0.942114 -0.207158 -0.891135 -0.357515 0.653191 -0.138371 -0.859389 -0.127069 0.24044 -0.264632 -0.979134 0.0801339 -0.495947 -0.676 -1.98154 1.06165 1.35996 0.297038 -1.76475 0.639149 -2.40572 -81.30336 554.7352 473.4318
35250 -0.514954 -1.07629 -1.14738 -1.07004 -0.518465 0.0685845 -0.144068 0.134997 0.295771 0.15592 0.145179 0.194273 0.15508 0.18518 1.21022 1.2318 1.10861 1.1012 1.11135 -0.153642 0.520013 -1.26835 1.38269 -1.02982 -2.35773 0.94351 1.68764 0.707154 -1.61874 -1.68256 -0.362983 0.155417 1.25385 -0.384745 -1.10219 0.375888 -1.39797 1.90452 -0.6318 0.812489 -0.306068 -0.733411 -1.14483 -0.31104 -0.196592 -0.481299 1.55156 -1.69715 -0.288884 0.75689 0.114641 0.939795 -2.14559 1.31863 0.0799792 -0.7655 -0.706039 -0.103694 0.59917 -0.0589097 -0.433461 -0.725707 -0.330029 0.175397 -0.83155 -0.128972 -1.5412 -0.169767 -2.13928 0.436465 2.23657 0.871637 -1.68205 0.162111 -0.708289 -81.61334 556.5028 474.8895
43450 -0.564424 -1.18311 -1.19569 -1.11623 -0.349342 -0.0754409 -0.110771 0.174085 0.181723 0.186316 0.131667 0.215444 0.141376 0.145258 1.19375 1.22947 1.10355 1.10119 1.11518 0.202748 1.65554 -0.992932 2.53636 -0.968481 0.0148977 -1.61081 1.53385 1.66122 -1.1009 -1.32456 -0.672908 1.21155 0.94509 0.129637 -1.09388 0.667563 -1.33153 0.705246 -0.0846336 0.752351 0.0907535 -0.58116 -0.540658 0.205239 -1.144 1.16379 0.753417 -0.876575 -1.08092 0.978608 0.578736 0.583459 -0.971524 0.258115 0.45919 -0.610744 -0.432963 -0.0723759 0.30036 1.01998 -0.997682 -0.509302 0.24795 0.345389 0.242968 -0.648345 -0.16284 -0.527812 -1.26204 1.56652 2.02161 0.824348 -2.24684 1.90988 -0.838488 -78.62178 545.3671 466.7454
30950 -0.604734 -1.17845 -1.20184 -1.15138 -0.573057 -0.272881 -0.0580704 0.146038 0.220256 0.237132 0.108564 0.237799 0.286189 0.183528 1.19345 1.2244 1.10594 1.10074 1.12594 0.249391 0.964911 -0.644133 2.77757 0.196061 0.170191 -1.91686 2.15182 1.30629 -0.874858 -1.40694 0.201161 0.832478 0.769854 0.268414 -0.702846 0.498264 -1.48181 1.81032 0.691758 -0.102355 0.217012 -0.298313 -0.597812 0.262485 0.460446 1.42988 0.0204648 -0.853779 -0.0517992 0.664655 0.669479 1.08405 0.153469 0.851936 0.756619 -0.279696 -0.337352 0.327318 0.602213 1.20268 0.1043 -0.131952 0.193964 0.349682 -0.109827 -0.131691 0.381935 0.175897 -1.29249 0.910934 1.68868 1.87116 -1.05267 1.65705 -2.31038 -78.76556 548.8298 470.0643
39600 -0.485127 -1.14611 -1.26366 -1.05892 -0.440733 -0.0434927 -0.0981719 0.12314 0.13457 0.194896 0.0987524 0.151931 0.0601071 0.0378078 1.20814 1.23322 1.1049 1.10231 1.12 -0.177414 1.07268 -0.435257 2.13624 -1.51659 -1.78431 0.14114 1.49677 2.15022 -0.675365 -2.4509 -0.598836 1.52455 1.10285 -0.716764 -1.49751 0.908672 -1.72872 1.90714 0.564125 -0.132573 -0.716179 -1.01881 -0.271284 0.446461 -0.468009 0.476465 0.849078 -2.25614 -0.784352 1.17917 0.484874 1.91335 -1.63786 -0.928428 0.0542682 -1.10093 -0.0877957 -0.230056 -0.0173056 1.35246 0.921167 -0.909301 -0.145649 0.686942 -1.26955 -0.363074 -0.241763 1.09491 -2.32251 1.35187 2.38261 0.332981 -2.84558 1.54204 -0.409221 -91.82587 544.6111 452.7852
38600 -0.561301 -0.955364 -1.1783 -1.09341 -0.602307 -0.0426411 -0.0432439 0.180658 0.344696 0.170929 0.124037 0.209335 0.108562 0.186717 1.19317 1.26785 1.12122 1.10362 1.11774 0.276378 0.211547 -0.948433 1.36119 -0.793417 -1.64156 0.410485 1.32387 0.354598 -1.33821 -1.53748 0.4565 -0.389651 -0.309929 0.146982 -1.19857 0.546653 -2.09876 1.51758 -0.49166 0.763541 0.129643 -0.947906 -0.741764 0.209025 0.198694 0.356939 -0.132779 -0.975154 -0.773061 0.804089 0.443797 1.5678 -1.96315 0.422945 0.450481 -0.878196 -0.509673 -0.543057 0.827577 1.90021 -0.687875 -0.421857 -0.576579 0.18509 0.314992 0.848676 0.351975 -1.02978 -1.40452 0.167583 2.19202 0.978807 -1.19715 0.91398 -1.05861 -76.08725 548.6719 472.5847
25850 -0.590646 -1.1784 -1.11993 -1.07503 -0.507802 0.0511953 -0.0453828 0.207203 0.16127 0.158605 0.122088 0.234148 0.117426 0.0659228 1.1888 1.24596 1.10057 1.10064 1.11669 0.379263 1.31909 -1.52842 2.07657 -0.459556 -1.97079 -0.304338 1.37215 1.94435 -1.93352 -1.61583 0.110467 0.0274663 0.37708 0.152833 -1.45272 0.236364 -1.28178 1.27831 -0.695492 1.36134 0.160061 -0.632861 -1.21454 0.106082 0.197213 0.0908952 0.0179815 -0.798607 -0.312331 0.552115 0.295187 1.1655 -2.66057 0.302586 0.640608 -0.697116 -0.798221 -0.722068 -0.177707 -0.32203 0.545186 -0.126061 -0.216606 -0.0230971 -0.114962 -0.103743 -1.58967 -0.929864 -0.898168 1.51189 1.85954 0.469839 -1.56069 2.19511 -0.143386 -80.53687 553.2365 472.6996
37250 -0.547435 -1.04904 -1.26392 -1.05268 -0.389871 -0.038713 -0.01556 0.120551 0.209587 0.21818 0.12706 0.21098 0.146943 0.0673397 1.23801 1.29103 1.1114 1.10148 1.11792 0.216945 0.532748 -0.438452 1.86549 -1.02614 -1.649 -1.96618 1.9865 1.18603 -0.668369 -1.59805 -0.840893 1.01199 0.996838 0.222898 -1.74788 0.870604 -2.14961 0.594958 0.471213 1.51158 -0.370115 -1.03705 -0.181758 -0.277411 -0.545712 0.238851 -0.909738 -1.6518 -0.728178 0.996167 -0.137244 0.534323 -0.164665 -0.275346 0.604278 -1.28618 0.0400755 -0.547437 -0.524688 0.887259 -1.01945 -0.4651 -0.725649 0.595139 -0.394192 -0.383339 -0.678493 -0.697782 -2.19444 0.700736 2.05305 0.519773 -2.13001 0.947842 -2.02081 -82.25696 544.7046 462.4477
28250 -0.584897 -1.19222 -1.33024 -1.05078 -0.522721 -0.035071 -0.115502 0.2142 0.173319 0.306996 0.0988686 0.179072 0.0904368 0.320572 1.18535 1.21608 1.10475 1.10016 1.14017 0.350792 1.34215 -0.0555493 1.91804 -1.36855 -2.36628 0.246834 1.31146 2.47761 -0.271429 -2.61323 -0.178131 0.905455 0.618622 0.0298514 -0.606653 0.807867 -1.82159 1.7022 -0.0949037 0.200262 0.147452 -0.676743 0.0689334 -0.262334 -0.201982 1.03057 0.606802 -0.646966 0.0775189 0.902611 0.072783 0.700547 -1.08553 1.10028 0.472401 -0.577505 0.192142 -0.495455 1.11717 0.518764 -0.584974 0.00223258 -0.110068 0.646296 -0.481512 0.178469 0.250361 0.119337 -0.979206 1.44286 1.72533 1.29955 -1.71483 1.56766 -0.721409 -79.98062 556.1322 476.1516
