iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkufrac(1)	M_lnkumet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkufrac(1)	SD_lnkumet(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkufrac(1.1)	lnkumet(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkufrac(1.2)	lnkumet(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkufrac(1.3)	lnkumet(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkufrac(1.4)	lnkumet(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkufrac(1.5)	lnkumet(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkufrac(1.6)	lnkumet(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkufrac(1.7)	lnkumet(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkufrac(1.8)	lnkumet(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	LnPrior	LnData	LnPosterior
0	-1.18951	-1.60556	-1.93575	-1.06601	0.65772	-0.219425	1.59528	0.257719	0.123046	0.064766	0.20131	0.331435	0.064722	0.121714	1.12076	1.23496	1.11728	1.21799	1.24576	0.166055	0.421004	-1.19191	0.54259	-2.35741	0.922246	1.42274	0.467431	-0.654025	0.86391	1.83929	-0.63289	-1.16218	-0.991212	-1.42866	-0.902838	0.138316	0.0914923	1.47695	-1.13515	-0.508382	-2.95576	-0.541056	-0.855735	-0.635392	0.574916	2.44046	-0.790984	0.650201	1.54956	1.51084	0.105296	-0.298738	-1.18285	0.0218589	-1.0419	-0.533136	-1.42947	1.23243	-0.254455	0.671451	1.05511	-0.0720566	-0.759125	-0.211819	1.19797	-1.2754	0.0905974	-1.52766	-1.45179	-0.953446	0.846198	-0.523922	1.09939	-0.0278202	-2.0371	-8.639639e+01	-6.691068e+04	-6.699707e+04
50	-0.683254	-1.04867	-1.80445	-1.06601	0.0887835	-0.579054	-0.376425	0.164279	0.130553	0.125494	0.161089	0.373434	0.339191	0.255156	1.28485	1.2848	1.12023	1.10982	1.14124	1.13871	0.434442	3.62338	1.01032	-2.27642	1.07086	1.63324	2.26199	2.10269	3.10985	-1.23118	-1.53922	1.75739	0.784318	0.718546	-2.80196	5.79543	-1.03784	-0.445675	1.70059	1.17892	0.571293	-1.84504	3.68889	-0.292317	-1.15645	1.93953	0.299798	-0.790622	-0.873049	6.09381	0.587503	-0.490764	0.753732	1.23844	1.07824	-1.18954	4.28492	0.0867716	-1.24829	1.90167	0.488145	0.101592	-0.499479	5.68281	-0.787342	-1.66378	0.581735	-0.0818883	-0.8588	0.264531	7.53133	0.831396	-1.60758	3.0107	-2.04056	-2.014825e+02	4.756154e+02	2.741329e+02
100	-0.679633	-1.06682	-1.79118	-1.07045	-0.0769378	-0.424971	-0.295831	0.154895	0.192133	0.127943	0.146466	0.437554	0.289587	0.264181	1.2137	1.22118	1.10318	1.10378	1.11653	0.916621	0.899782	3.58062	1.28224	-1.56733	0.44649	1.08557	2.42719	1.50198	2.99356	-1.90256	-1.24766	1.62902	1.63797	0.695769	-1.37345	5.39752	-1.54287	-0.349969	1.33651	1.74293	0.658693	-0.730272	3.64845	0.0308713	-1.2211	1.86321	1.12092	-0.481382	-0.943522	6.00064	0.426429	-0.435036	0.277582	1.06795	1.20423	-0.642443	3.94142	-0.346162	-0.655977	1.67035	0.513192	0.491567	-0.534995	5.09434	-0.455562	-0.978721	1.34576	0.231493	-0.716365	0.652392	7.69265	0.560459	-1.7215	1.78572	0.0272923	-1.833000e+02	5.548506e+02	3.715505e+02
150	-0.640903	-1.03601	-1.78816	-1.05357	-0.0790031	-0.435161	-0.194609	0.131445	0.262221	0.131442	0.267945	0.392498	0.401055	0.319879	1.23297	1.22093	1.10121	1.10352	1.11601	0.937895	0.412599	3.30943	0.601199	-1.62581	0.596251	0.874535	2.66961	0.918788	2.60726	-1.00875	-1.26592	1.49658	0.97288	0.691438	-1.27222	5.2473	-0.845821	-0.166549	0.936677	0.770589	0.565904	-0.846065	3.65386	-0.0345412	-1.42117	0.971249	1.10804	-0.686521	-0.653317	5.6901	0.0517775	-0.626175	0.588302	0.831028	1.35081	-0.837502	3.89326	-0.200761	-0.991054	1.18202	0.445134	0.269321	-0.766633	5.13792	-0.343427	-1.06193	0.80309	-0.248943	-1.35731	0.446933	7.4264	0.357914	-1.87364	1.51417	-0.563253	-1.710920e+02	5.576168e+02	3.865248e+02
200	-0.625622	-1.0555	-1.78471	-1.02657	-0.101724	-0.160735	-0.0441465	0.139947	0.239929	0.133291	0.315885	0.387043	0.246122	0.428286	1.19402	1.24583	1.10254	1.10913	1.11781	0.574942	0.563169	3.22102	0.537811	-1.29175	-0.317738	-0.344669	2.20503	1.08448	2.74174	-0.893693	-1.22585	0.932696	0.40349	0.42802	-1.30239	5.41283	-0.902827	-0.314092	0.319394	0.360658	0.662713	-0.712554	3.3565	-0.426124	-1.28859	1.1535	0.393495	-0.577013	-0.507101	5.50317	-0.211464	-0.799817	-0.00147028	0.879697	1.04258	-1.32517	3.83418	-0.218339	-0.646302	1.34455	-0.448638	0.157862	-0.757403	5.069	-0.376971	-1.22974	0.305641	-0.238534	-1.39356	0.548687	7.39599	0.360982	-1.96637	1.21037	-0.812682	-1.644013e+02	5.530201e+02	3.886189e+02
250	-0.624574	-1.03393	-1.76904	-1.11038	-0.0426415	-0.144618	-0.0754971	0.142291	0.260062	0.129691	0.213962	0.382389	0.189316	0.218937	1.23037	1.29189	1.12096	1.10306	1.10091	0.688277	0.260717	3.34784	0.983435	-1.6071	-1.28839	0.0857011	2.29429	0.888591	2.66425	-0.765499	-1.13152	0.84321	0.61743	0.57913	-1.51045	5.25304	-0.990324	-0.176453	0.598883	0.4283	0.615387	-1.12063	3.60502	-0.0955211	-1.38524	1.23131	0.621777	-0.672212	-0.65479	5.4754	0.271597	-0.582221	-0.924414	0.705235	0.902837	-0.771351	3.93875	-0.207207	-0.967395	0.956024	-0.552137	0.139118	-0.46762	4.87552	-0.197682	-1.57642	0.57365	-0.237404	-1.36833	0.652064	7.50614	0.452474	-2.14271	1.02616	-0.736429	-1.646314e+02	5.407876e+02	3.761561e+02
300	-0.618821	-1.01468	-1.77802	-1.14858	-0.078075	-0.0878446	-0.0596121	0.140818	0.22128	0.138773	0.20606	0.435667	0.146168	0.193518	1.20865	1.22786	1.10646	1.10378	1.12426	0.772701	0.159146	2.90568	1.79451	-1.08834	-0.452567	-0.649053	2.17385	1.21628	2.74927	-1.20452	-1.21719	-0.296331	1.20656	0.440202	-1.63109	4.95459	-0.615792	-0.104024	0.0598395	0.617988	0.503329	-1.41073	3.27989	0.263332	-0.939376	0.77902	-0.106341	-0.845244	-1.01479	5.37307	0.463438	-0.50242	-1.25275	0.542928	1.04686	-1.16611	3.71677	-0.158771	-0.856681	0.761375	0.118239	0.0881786	-0.541047	4.42826	0.0680617	-0.99578	0.611632	-0.230991	-1.385	0.191888	6.90446	1.11546	-1.65494	2.46748	-1.81705	-1.560328e+02	5.460912e+02	3.900584e+02
350	-0.612581	-1.02192	-1.74827	-1.19875	-0.114108	-0.034671	0.00220125	0.132215	0.249619	0.141894	0.184225	0.448749	0.1431	0.156824	1.19088	1.2144	1.11176	1.10067	1.14839	0.756021	0.053661	2.84233	1.9922	-1.05343	-1.62915	-0.56025	2.35902	0.319543	2.39259	-0.628716	-0.886855	-0.22941	0.477749	0.51321	-1.33747	4.73061	-0.755143	-0.460652	-0.314704	0.721258	0.133753	-0.891462	3.00683	0.660004	-0.950811	0.793085	0.268732	-1.07527	-0.879642	5.05592	0.941566	-0.260353	-1.36409	-0.00987631	0.924444	-1.24707	3.34539	0.571007	-0.630732	0.97769	-1.13077	0.174428	-0.511994	4.41799	0.0868993	-1.05132	-0.0528656	-0.121996	-1.38558	0.320064	6.63595	1.41939	-1.61165	1.28992	-2.13117	-1.470066e+02	5.569927e+02	4.099861e+02
400	-0.619065	-1.02255	-1.73297	-1.12042	-0.127219	-0.125403	-0.126294	0.12211	0.276775	0.143352	0.159113	0.415207	0.185984	0.140575	1.22278	1.19472	1.1011	1.10297	1.11756	0.599698	0.146066	2.65079	1.9906	-1.0041	-1.01246	-1.37009	2.47091	1.09299	2.06485	-0.909238	-1.15827	1.31147	1.65989	0.580644	-1.44759	4.69537	-0.94965	-0.320586	0.0602499	1.59005	0.301769	-0.874799	2.95015	0.248781	-0.85238	0.483533	0.237882	-0.729987	-0.963303	4.75362	0.40129	-0.207656	0.0423195	1.06263	1.05835	-0.819598	3.20752	-0.288432	-0.824658	0.994645	0.526218	-0.230682	-0.44817	4.18841	-0.00367049	-0.802734	-0.0386273	-0.673478	-1.5177	0.367346	6.58468	0.94989	-1.80009	0.832882	-0.279047	-1.414256e+02	5.523522e+02	4.109266e+02
450	-0.616206	-0.983118	-1.6999	-1.09211	-0.146471	-0.0997133	0.097351	0.14167	0.287091	0.135729	0.235716	0.419567	0.28191	0.149924	1.23934	1.25763	1.10417	1.10046	1.1179	0.627956	0.217263	2.48895	1.08717	-0.980848	-0.79898	-1.78975	2.18257	0.418808	2.15404	-0.991491	-0.877533	0.121304	-0.194764	0.672129	-1.54349	4.61015	-1.08902	-0.357116	0.0079699	0.599976	0.779234	-1.24698	2.90645	-0.00981092	-1.02376	0.297781	0.905337	-0.978021	-0.937283	5.03143	0.293683	-0.330229	-0.645356	-0.878206	0.981922	-1.00388	3.05021	0.0383479	-0.444274	0.621195	-1.74183	0.0351461	-0.481265	4.19182	-0.106705	-0.914182	-0.0421017	-0.794366	-1.2583	0.123143	6.62222	0.451218	-1.63178	0.725193	-2.40798	-1.418199e+02	5.473066e+02	4.054866e+02
