"ID","variable","0.25","0.5","1","2","4","6","8","12","24","36","48"
"0","Ccpt_out",0.249,0.34,0.584,0.592,0.526,0.313,0.195,0.0813,0.00346,0.00013,4.47e-06
"0","Cmet_out",0.00254,0.0131,0.0439,0.0921,0.112,0.102,0.07,0.0277,0.0014,8.71e-05,3.57e-06
"0","Qu_out",0.161,0.69,1.98,6.1,15.6,19.2,22.6,24.8,26.2,26.3,26.3
"0","Q_fec_out",8.65,14.9,27.5,36.6,40.8,41.6,41.8,41.8,41.8,41.8,41.8
"0","Qu_met_out",0.00913,0.103,0.423,2.85,9.56,18.3,24.4,30.5,34.1,34.3,34.3
"1","Ccpt_out",0.308,0.433,0.824,0.583,0.687,0.348,0.148,0.0589,0.00283,0.000173,1.15e-05
"1","Cmet_out",0.00668,0.0168,0.0664,0.162,0.142,0.0928,0.0879,0.0356,0.00129,0.000138,6.63e-06
"1","Qu_out",0.215,0.919,2.48,5.78,11.1,14,16.3,18.4,19.4,19.4,19.4
"1","Q_fec_out",9.44,15.5,21.5,25.6,26.4,26.4,26.4,26.4,26.4,26.4,26.4
"1","Qu_met_out",0.0268,0.181,1.3,5.15,21,33.3,41.4,51.5,57.6,58,58
"2","Ccpt_out",0.148,0.182,0.382,0.356,0.294,0.216,0.121,0.0345,0.000525,9.5e-06,1.53e-07
"2","Cmet_out",0.00221,0.00826,0.0333,0.0758,0.0944,0.09,0.042,0.0152,0.000295,4.95e-06,9.05e-08
"2","Qu_out",0.0906,0.277,1.14,3.56,8.39,12.1,15,16.1,16.7,16.7,16.7
"2","Q_fec_out",5.75,10.6,20,31.9,41.2,43.3,44,44.2,44.2,44.2,44.2
"2","Qu_met_out",0.0156,0.116,0.863,4.19,15.6,28.1,36.8,43.2,46.1,46.2,46.2
"3","Ccpt_out",0.0951,0.199,0.252,0.419,0.331,0.3,0.138,0.0663,0.00196,7.53e-05,3.41e-06
"3","Cmet_out",0.00226,0.00715,0.0204,0.0698,0.134,0.111,0.0606,0.0305,0.00106,6.78e-05,2.2e-06
"3","Qu_out",0.0945,0.4,1.34,3.48,9.91,13.4,16.9,18.7,20.2,20.2,20.3
"3","Q_fec_out",6.42,11.5,22.2,33.6,43.3,45.9,46.9,47.2,47.2,47.2,47.2
"3","Qu_met_out",0.00819,0.0769,0.396,2.51,12.1,23.8,31.6,37.9,42.7,42.9,42.9
"4","Ccpt_out",0.144,0.229,0.32,0.347,0.323,0.171,0.106,0.0368,0.000444,5.53e-06,1.08e-07
"4","Cmet_out",0.00195,0.00927,0.0233,0.0522,0.0845,0.0446,0.04,0.011,0.000292,2.25e-06,4.5e-08
"4","Qu_out",0.093,0.25,1.3,4.09,9.92,13.3,15.5,16.8,17.2,17.2,17.2
"4","Q_fec_out",7.06,14,21.8,37.3,47.6,50.6,51.7,52,52,52,52
"4","Qu_met_out",0.011,0.0816,0.487,2.62,10.6,18.3,25.6,29.7,31.5,31.6,31.6
"5","Ccpt_out",0.148,0.234,0.392,0.344,0.34,0.224,0.147,0.0578,0.00136,5.04e-05,1.76e-06
"5","Cmet_out",0.00263,0.0113,0.0545,0.097,0.112,0.112,0.0736,0.0269,0.00126,3.95e-05,1.05e-06
"5","Qu_out",0.117,0.398,1.39,3.59,10.8,15.8,18.8,22.2,23.4,23.5,23.5
"5","Q_fec_out",6.43,11.1,19.8,29.8,38.9,41.2,41.7,41.9,41.9,41.9,41.9
"5","Qu_met_out",0.0113,0.0837,0.707,4.41,13.7,27.2,34.5,42.5,46.4,46.5,46.6
"6","Ccpt_out",0.148,0.202,0.32,0.506,0.455,0.198,0.0911,0.0306,0.000489,1.59e-05,3.33e-07
"6","Cmet_out",0.00595,0.0137,0.0399,0.0946,0.127,0.118,0.0617,0.0199,0.000575,1.2e-05,2.46e-07
"6","Qu_out",0.128,0.342,1.46,3.61,8.19,12.3,14.3,17.1,17.7,17.7,17.7
"6","Q_fec_out",7.06,14.1,21.7,33.9,40.7,42.7,43.2,43.3,43.3,43.3,43.3
"6","Qu_met_out",0.0124,0.0764,0.408,2.84,11.7,20.9,25.5,31.4,34,34,34
"7","Ccpt_out",0.117,0.102,0.216,0.306,0.175,0.0796,0.0292,0.00565,3.51e-05,2.19e-07,5.66e-10
"7","Cmet_out",0.00508,0.0145,0.0707,0.096,0.146,0.133,0.0963,0.0291,0.000296,4.44e-06,1.66e-08
"7","Qu_out",0.161,0.575,1.58,4.91,11.4,14.8,16.1,17.2,17.4,17.4,17.4
"7","Q_fec_out",9.14,13.6,28.4,46.4,55.2,57.7,58.1,58.3,58.3,58.3,58.3
"7","Qu_met_out",0.00906,0.0689,0.443,2.81,9.41,15.5,18.8,25.5,27.2,27.3,27.3
