iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkufrac(1)	M_lnkumet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkufrac(1)	SD_lnkumet(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkufrac(1.1)	lnkumet(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkufrac(1.2)	lnkumet(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkufrac(1.3)	lnkumet(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkufrac(1.4)	lnkumet(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkufrac(1.5)	lnkumet(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkufrac(1.6)	lnkumet(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkufrac(1.7)	lnkumet(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkufrac(1.8)	lnkumet(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	LnPrior	LnData	LnPosterior
0	-0.803708	-0.736944	-0.699141	-0.644473	-0.795361	-3.23692	-1.99201	0.0348606	0.179994	0.296655	0.114483	0.0460809	0.161196	0.0839231	1.10206	1.2678	1.17161	1.10477	1.22659	0.520216	0.32066	-0.923769	-1.03378	-0.720257	-0.408367	0.359213	1.17142	0.00164126	0.418313	0.0916814	-0.926699	-1.5336	-0.0533844	0.0644078	0.324264	-0.228479	0.881284	0.625145	-0.950684	0.382536	-0.682697	0.0948158	-1.08001	-0.241347	0.177276	-1.58578	2.46915	0.012289	0.854718	0.49436	1.65921	-1.17753	-0.391752	-1.08707	1.41649	0.353508	0.0590482	0.537693	-0.2091	-1.03475	-0.276347	1.7186	-2.03691	-1.16316	0.310258	-1.87043	1.0171	-0.585324	-1.81068	1.16339	-1.93409	-1.048	0.885523	0.626013	1.83844	-8.311555e+01	-6.419727e+04	-6.428039e+04
50	-0.846139	-1.00314	-0.713945	-0.765156	-0.752705	-1.16038	-1.60805	0.123251	0.521754	0.321476	0.185875	0.196782	0.356099	0.38946	1.29805	1.27939	1.11393	1.10334	1.29539	2.09643	0.0816566	-1.99683	0.237323	1.81902	2.12029	2.71409	4.26158	0.216323	-2.21826	-2.53127	1.79277	3.23891	3.53327	0.172117	-1.17385	0.653473	-1.61781	2.39543	0.300491	3.30833	2.21351	-0.322695	-2.07848	-1.54619	1.52548	4.08906	3.99977	-0.0815961	-0.518541	-1.03362	-0.601144	4.50325	2.59057	2.83919	1.84825	-0.789958	-1.5645	-0.552783	2.04476	1.91419	2.14262	1.90961	-0.418935	-1.18276	-2.17019	0.66391	2.48945	3.87035	0.232909	0.130004	-0.403331	-0.635673	-0.481303	4.13861	3.6472	-1.904031e+02	4.101903e+02	2.197872e+02
100	-0.835926	-1.03578	-0.703497	-0.760618	-0.753957	-0.998252	-1.47965	0.121126	0.544992	0.325443	0.192202	0.241474	0.440228	0.430532	1.21446	1.2332	1.1262	1.10056	1.18711	2.41619	0.0195662	-1.97837	-0.111349	1.29726	1.62394	2.60888	4.3234	0.37695	-2.26715	-2.3777	1.09288	2.5818	3.58147	0.628271	-1.22407	0.579987	-1.73474	2.18278	0.352299	2.78871	2.11161	-0.3837	-1.96365	-1.55148	1.13062	2.41893	3.33157	0.578592	-0.160984	-1.03608	-1.30847	1.96789	1.46669	3.32953	2.3044	-0.412349	-1.69536	-1.55725	1.6417	2.21375	2.7658	1.77644	-0.100263	-1.32354	-2.01807	0.753274	2.27609	3.12553	0.0586562	0.212164	-0.315219	-1.01255	-0.369041	2.62972	2.50976	-1.604905e+02	4.932428e+02	3.327523e+02
150	-0.821314	-1.02625	-0.700315	-0.760767	-0.838156	-0.792078	-1.27946	0.124304	0.528632	0.33587	0.234296	0.281319	0.36782	0.445681	1.1953	1.2231	1.10044	1.10434	1.16233	2.61418	0.111513	-1.95523	-0.280637	0.213829	1.56121	3.06609	4.21947	0.601685	-2.16412	-2.11487	0.399571	2.38044	3.48473	0.950428	-1.35856	0.219757	-1.65562	3.16388	0.160796	2.05018	2.11103	-0.438559	-1.88054	-1.35055	0.9697	2.41895	3.20923	0.778844	-0.249569	-1.03968	-1.306	1.64541	1.69826	3.22849	2.32134	-0.471176	-1.71598	-1.23877	2.14522	2.05816	1.7344	1.82715	-0.313435	-1.27808	-1.50176	0.988068	1.66693	2.5069	-0.0374401	0.262234	-0.320728	-0.890154	0.0662958	2.40516	1.93374	-1.501650e+02	5.081512e+02	3.579862e+02
200	-0.79826	-1.0148	-0.685284	-0.822769	-0.818994	-0.731777	-1.24985	0.116498	0.542238	0.340541	0.263696	0.356969	0.29351	0.466091	1.19913	1.23901	1.11004	1.11317	1.18172	2.1495	0.192555	-1.89593	0.0976524	0.252292	1.39032	2.57827	4.17222	0.418799	-2.08076	-2.02671	0.675955	2.64333	2.70611	0.894684	-1.3628	0.370058	-1.48326	1.88304	0.209165	2.2872	1.80905	-0.225878	-1.85679	-1.00176	0.302587	2.36669	3.07227	0.204044	-0.444327	-0.944473	-0.544782	1.3587	0.970385	2.50258	2.58998	-0.582472	-1.70037	-0.930414	1.30887	2.67513	2.1829	1.42375	-0.190079	-1.27281	-1.26467	0.746146	1.7323	2.3537	-0.164427	0.0424024	-0.307265	-0.568333	-0.0211973	2.47344	1.88864	-1.356231e+02	5.003169e+02	3.646938e+02
250	-0.770113	-1.04327	-0.680744	-0.907626	-0.769502	-0.693103	-0.929583	0.122232	0.538045	0.347802	0.189525	0.299774	0.407263	0.517576	1.22576	1.2729	1.10153	1.10277	1.15973	1.84387	0.127146	-1.94544	0.462469	0.589225	1.23098	1.43151	3.8498	0.608604	-2.10002	-2.26214	0.329155	1.77881	2.43993	1.06076	-1.36991	-0.0754556	-1.45631	2.21241	0.428464	1.3025	1.99503	-0.56129	-1.77542	-1.013	0.607205	1.60815	1.983	0.42185	-0.321222	-1.00787	-0.878965	1.3342	1.29047	1.99457	2.15264	-0.413304	-1.69055	-0.953913	0.927138	2.05417	1.52989	1.00985	-0.24992	-1.33435	-0.963777	1.09915	1.50398	1.28156	-0.332299	0.185426	-0.35885	-0.276725	-0.131718	1.85802	0.849234	-1.148918e+02	5.098271e+02	3.949353e+02
300	-0.766493	-1.01804	-0.699015	-0.947867	-0.763501	-0.520071	-0.468206	0.122237	0.596482	0.330282	0.152478	0.356417	0.34832	0.329628	1.21298	1.23214	1.10741	1.1112	1.1482	2.03543	0.140809	-2.05245	0.665462	0.329266	1.14488	1.03341	3.68951	0.377082	-2.18284	-2.40851	0.704645	1.77173	1.87194	1.22082	-1.34103	-0.15839	-1.42015	2.28089	0.402447	0.450576	1.70962	-0.291476	-1.88957	-0.976473	0.35021	1.79652	1.8144	0.195988	-0.42015	-1.03644	-0.138452	1.56522	1.00618	1.68942	2.19104	-0.447223	-1.73372	-0.722131	1.11093	1.60204	0.86875	0.765824	-0.223649	-1.28177	-0.651954	1.32418	0.549697	0.0783331	-0.439266	0.217653	-0.319739	0.101766	-0.266907	1.72597	0.131237	-1.055850e+02	5.058950e+02	4.003100e+02
350	-0.748716	-1.00997	-0.673887	-0.961534	-0.756594	-0.465826	-0.389121	0.116713	0.542422	0.331801	0.184618	0.356053	0.283825	0.19381	1.1978	1.26402	1.10796	1.10547	1.15145	1.85202	0.102561	-2.0531	0.764688	0.441353	0.829907	1.3392	3.92947	0.241107	-2.28046	-1.94758	0.62523	1.90882	2.20891	1.06275	-1.45456	-0.141624	-1.30164	2.11381	-0.171541	0.0519314	1.31725	-0.443952	-1.88756	-0.463822	0.617598	1.60979	0.862448	0.0703962	-0.413275	-1.09879	-0.381012	1.20585	1.02117	2.50841	2.15058	-0.588666	-1.75566	-0.404799	1.30363	1.93647	-0.0144494	1.20017	-0.317407	-1.36347	-0.836263	0.849778	1.41282	0.521974	-0.430845	0.084018	-0.354176	-0.361456	-0.303359	2.06184	1.03874	-1.052278e+02	5.163266e+02	4.110988e+02
400	-0.734596	-1.01148	-0.675651	-0.953523	-0.770243	-0.259624	-0.31963	0.108688	0.509176	0.327466	0.148396	0.369187	0.127505	0.183985	1.23453	1.25448	1.1009	1.1084	1.15209	2.09567	-0.0142153	-2.0545	0.680635	0.259006	0.19938	0.878737	3.95778	0.597828	-2.29171	-2.37938	0.649031	2.03532	1.65205	0.658779	-1.41698	-0.40106	-1.19446	2.60876	-0.971376	-0.672174	1.32814	-0.369203	-1.93659	-0.772484	0.605101	1.63405	1.54105	-0.100971	-0.390281	-1.17907	-0.379445	1.30197	0.426818	1.67582	2.25081	-0.578072	-1.80052	-0.839974	0.960271	2.07105	0.890302	0.967023	-0.34338	-1.36493	-0.592501	1.04694	0.601999	-0.223683	-0.810783	0.172141	-0.392108	0.159852	-0.192244	2.15809	0.530712	-1.039317e+02	5.043208e+02	4.003891e+02
450	-0.702235	-1.04808	-0.663278	-0.990345	-0.750553	-0.187942	-0.158624	0.125532	0.505819	0.327353	0.192523	0.347733	0.168084	0.113769	1.22578	1.22468	1.10214	1.10821	1.15027	1.43155	0.0820653	-2.07924	1.22192	0.3316	-0.38881	-0.712646	3.16917	0.290208	-2.20464	-1.61499	0.609294	1.45856	1.22304	0.5881	-1.49639	-0.126364	-0.969797	2.30253	-1.49203	-1.72179	0.802877	-0.42117	-1.95579	-0.250353	0.593001	1.28014	1.12816	-0.153624	-0.384868	-1.13346	-0.455429	1.20279	-0.180782	2.1674	1.68322	-0.384414	-1.80292	-0.685264	0.688347	1.32317	1.13103	0.672	-0.109804	-1.44047	-0.899342	0.488575	0.854278	0.0727681	-0.805623	0.155061	-0.393134	-0.031157	-0.195437	1.60585	-1.24301	-9.332876e+01	5.071506e+02	4.138219e+02
