Results of Simulation 1

Time	Ccpt_out	Cmet_out	Qu_out	Q_fec_out	Qu_met_out
10.8	0.0477089	0.0295099	13.9428	50.3138	30.2832
10.9	0.0463191	0.0287331	13.9726	50.3157	30.4068
11	0.0449687	0.0279741	14.0016	50.3174	30.5272
11.1	0.0436569	0.0272326	14.0298	50.319	30.6444
11.2	0.0423824	0.0265083	14.0571	50.3205	30.7585
11.3	0.0411443	0.0258009	14.0836	50.322	30.8695
11.4	0.0399417	0.0251103	14.1093	50.3233	30.9776
11.5	0.0387736	0.0244361	14.1343	50.3245	31.0828
11.6	0.0376389	0.0237781	14.1586	50.3256	31.1851
11.7	0.0365369	0.023136	14.1821	50.3267	31.2847
11.8	0.0354665	0.0225095	14.205	50.3277	31.3816
11.9	0.034427	0.0218983	14.2272	50.3286	31.4759
12	0.0334174	0.0213022	14.2487	50.3295	31.5676
12.1	0.0324371	0.0207208	14.2696	50.3303	31.6568
12.2	0.031485	0.0201539	14.2899	50.331	31.7436
12.3	0.0305605	0.0196012	14.3096	50.3317	31.828
12.4	0.0296628	0.0190625	14.3288	50.3324	31.91
12.5	0.0287912	0.0185374	14.3473	50.333	31.9898
12.6	0.0279449	0.0180257	14.3653	50.3336	32.0675
12.7	0.0271231	0.017527	14.3828	50.3341	32.1429
12.8	0.0263251	0.0170412	14.3998	50.3346	32.2163
12.9	0.0255504	0.0165679	14.4163	50.3351	32.2877
13	0.0247983	0.0161068	14.4322	50.3355	32.357
13.1	0.0240681	0.0156578	14.4478	50.3359	32.4245
13.2	0.0233591	0.0152205	14.4628	50.3363	32.49
13.3	0.0226709	0.0147947	14.4774	50.3366	32.5537
13.4	0.0220028	0.01438	14.4916	50.3369	32.6156
13.5	0.0213542	0.0139764	14.5054	50.3372	32.6758
13.6	0.0207245	0.0135835	14.5187	50.3375	32.7343
13.7	0.0201133	0.013201	14.5317	50.3378	32.7912
13.8	0.01952	0.0128287	14.5443	50.338	32.8464
13.9	0.018944	0.0124664	14.5565	50.3383	32.9001
14	0.0183849	0.0121138	14.5684	50.3385	32.9523
14.1	0.0178422	0.0117707	14.5799	50.3387	33.003
14.2	0.0173154	0.0114369	14.591	50.3389	33.0523
14.3	0.0168041	0.0111122	14.6019	50.339	33.1001
14.4	0.0163078	0.0107963	14.6124	50.3392	33.1467
14.5	0.015826	0.0104889	14.6226	50.3394	33.1918
14.6	0.0153584	0.01019	14.6325	50.3395	33.2357
14.7	0.0149046	0.00989928	14.6421	50.3396	33.2784
14.8	0.014464	0.00961652	14.6514	50.3398	33.3198
14.9	0.0140365	0.00934154	14.6604	50.3399	33.36
15	0.0136215	0.00907414	14.6692	50.34	33.3991
15.1	0.0132187	0.00881413	14.6778	50.3401	33.4371
15.2	0.0128278	0.00856132	14.686	50.3402	33.474
15.3	0.0124484	0.00831552	14.694	50.3403	33.5098
15.4	0.0120802	0.00807656	14.7018	50.3403	33.5446
15.5	0.0117228	0.00784425	14.7094	50.3404	33.5784
15.6	0.011376	0.00761842	14.7167	50.3405	33.6112
15.7	0.0110394	0.00739891	14.7238	50.3406	33.6431
15.8	0.0107127	0.00718554	14.7307	50.3406	33.6741
15.9	0.0103956	0.00697815	14.7374	50.3407	33.7041
16	0.0100879	0.00677659	14.744	50.3407	33.7333
16.1	0.00978932	0.00658071	14.7503	50.3408	33.7617
16.2	0.00949951	0.00639035	14.7564	50.3408	33.7892
16.3	0.00921826	0.00620536	14.7623	50.3409	33.816
16.4	0.00894532	0.0060256	14.7681	50.3409	33.8419
16.5	0.00868043	0.00585093	14.7737	50.3409	33.8671
16.6	0.00842337	0.00568121	14.7791	50.341	33.8916
16.7	0.0081739	0.0055163	14.7844	50.341	33.9154
16.8	0.00793181	0.00535608	14.7895	50.341	33.9385
16.9	0.00769686	0.00520042	14.7945	50.3411	33.9609
17	0.00746887	0.0050492	14.7993	50.3411	33.9826
17.1	0.00724761	0.00490229	14.804	50.3411	34.0037
17.2	0.00703289	0.00475957	14.8085	50.3411	34.0243
17.3	0.00682452	0.00462094	14.8129	50.3412	34.0442
17.4	0.00662232	0.00448627	14.8172	50.3412	34.0635
17.5	0.00642609	0.00435546	14.8213	50.3412	34.0823
17.6	0.00623567	0.0042284	14.8253	50.3412	34.1005
17.7	0.00605089	0.00410499	14.8292	50.3412	34.1182
17.8	0.00587157	0.00398512	14.833	50.3413	34.1353
17.9	0.00569756	0.0038687	14.8367	50.3413	34.152
18	0.00552869	0.00375563	14.8402	50.3413	34.1682
18.1	0.00536483	0.00364582	14.8437	50.3413	34.1839
18.2	0.00520581	0.00353917	14.8471	50.3413	34.1992
18.3	0.0050515	0.00343561	14.8503	50.3413	34.214
18.4	0.00490176	0.00333503	14.8535	50.3413	34.2283
18.5	0.00475646	0.00323736	14.8565	50.3413	34.2423
18.6	0.00461545	0.00314252	14.8595	50.3413	34.2558
18.7	0.00447863	0.00305042	14.8624	50.3414	34.269
18.8	0.00434585	0.00296098	14.8652	50.3414	34.2817
18.9	0.004217	0.00287415	14.8679	50.3414	34.2941
19	0.00409198	0.00278982	14.8706	50.3414	34.3062
19.1	0.00397065	0.00270795	14.8731	50.3414	34.3178
19.2	0.00385292	0.00262846	14.8756	50.3414	34.3291
19.3	0.00373868	0.00255127	14.878	50.3414	34.3401
19.4	0.00362782	0.00247633	14.8804	50.3414	34.3508
19.5	0.00352025	0.00240357	14.8826	50.3414	34.3612
19.6	0.00341586	0.00233293	14.8848	50.3414	34.3712
19.7	0.00331457	0.00226434	14.887	50.3414	34.381
19.8	0.00321628	0.00219776	14.889	50.3414	34.3905
19.9	0.0031209	0.00213311	14.891	50.3414	34.3997
20	0.00302835	0.00207035	14.893	50.3414	34.4086
20.1	0.00293854	0.00200943	14.8949	50.3414	34.4172
20.2	0.00285139	0.00195028	14.8967	50.3414	34.4256
20.3	0.00276683	0.00189286	14.8985	50.3414	34.4338
20.4	0.00268477	0.00183712	14.9002	50.3414	34.4417
20.5	0.00260514	0.001783	14.9019	50.3414	34.4494
20.6	0.00252786	0.00173047	14.9036	50.3414	34.4569
20.7	0.00245289	0.00167948	14.9051	50.3414	34.4641
20.8	0.00238013	0.00162998	14.9067	50.3414	34.4711
20.9	0.00230954	0.00158192	14.9082	50.3414	34.4779
21	0.00224103	0.00153528	14.9096	50.3414	34.4846
21.1	0.00217456	0.00149	14.911	50.3414	34.491
21.2	0.00211005	0.00144606	14.9124	50.3414	34.4972
21.3	0.00204747	0.0014034	14.9137	50.3415	34.5033
21.4	0.00198674	0.00136199	14.915	50.3415	34.5091
21.5	0.00192781	0.0013218	14.9162	50.3415	34.5148
21.6	0.00187062	0.00128279	14.9174	50.3415	34.5204
21.7	0.00181513	0.00124492	14.9186	50.3415	34.5257
21.8	0.00176129	0.00120817	14.9197	50.3415	34.5309
21.9	0.00170905	0.0011725	14.9208	50.3415	34.536
22	0.00165835	0.00113787	14.9219	50.3415	34.5409
22.1	0.00160916	0.00110426	14.9229	50.3415	34.5456
22.2	0.00156142	0.00107165	14.9239	50.3415	34.5503
22.3	0.0015151	0.00103999	14.9249	50.3415	34.5547
22.4	0.00147016	0.00100926	14.9259	50.3415	34.5591
22.5	0.00142655	0.000979435	14.9268	50.3415	34.5633
22.6	0.00138423	0.000950489	14.9277	50.3415	34.5674
22.7	0.00134316	0.000922396	14.9285	50.3415	34.5714
22.8	0.00130332	0.000895129	14.9294	50.3415	34.5753
22.9	0.00126465	0.000868666	14.9302	50.3415	34.579
23	0.00122714	0.000842983	14.931	50.3415	34.5826
23.1	0.00119073	0.000818057	14.9318	50.3415	34.5862
23.2	0.00115541	0.000793865	14.9325	50.3415	34.5896
23.3	0.00112113	0.000770386	14.9332	50.3415	34.5929
23.4	0.00108787	0.0007476	14.9339	50.3415	34.5961
23.5	0.0010556	0.000725485	14.9346	50.3415	34.5992
23.6	0.00102428	0.000704023	14.9353	50.3415	34.6023
23.7	0.000993895	0.000683194	14.9359	50.3415	34.6052
23.8	0.000964409	0.00066298	14.9365	50.3415	34.6081
23.9	0.000935798	0.000643362	14.9371	50.3415	34.6109
24	0.000908036	0.000624323	14.9377	50.3415	34.6135
24.1	0.000881096	0.000605846	14.9383	50.3415	34.6162
24.2	0.000854956	0.000587915	14.9388	50.3415	34.6187
24.3	0.000829592	0.000570513	14.9394	50.3415	34.6212
24.4	0.00080498	0.000553625	14.9399	50.3415	34.6235
24.5	0.000781098	0.000537235	14.9404	50.3415	34.6259
24.6	0.000757924	0.00052133	14.9409	50.3415	34.6281
24.7	0.000735438	0.000505895	14.9414	50.3415	34.6303
24.8	0.000713619	0.000490916	14.9418	50.3415	34.6324
24.9	0.000692447	0.00047638	14.9423	50.3415	34.6344
25	0.000671904	0.000462273	14.9427	50.3415	34.6364
25.1	0.000651969	0.000448583	14.9431	50.3415	34.6384
25.2	0.000632626	0.000435298	14.9435	50.3415	34.6403
25.3	0.000613857	0.000422405	14.9439	50.3415	34.6421
25.4	0.000595645	0.000409894	14.9443	50.3415	34.6438
25.5	0.000577973	0.000397753	14.9447	50.3415	34.6456
25.6	0.000560825	0.000385971	14.945	50.3415	34.6472
25.7	0.000544186	0.000374537	14.9454	50.3415	34.6488
25.8	0.000528041	0.000363441	14.9457	50.3415	34.6504
25.9	0.000512375	0.000352674	14.9461	50.3415	34.6519
26	0.000497173	0.000342225	14.9464	50.3415	34.6534
26.1	0.000482422	0.000332085	14.9467	50.3415	34.6548
26.2	0.000468109	0.000322246	14.947	50.3415	34.6562
26.3	0.000454221	0.000312697	14.9473	50.3415	34.6576
26.4	0.000440745	0.000303431	14.9476	50.3415	34.6589
26.5	0.000427668	0.00029444	14.9478	50.3415	34.6601
26.6	0.000414979	0.000285714	14.9481	50.3415	34.6614
26.7	0.000402667	0.000277247	14.9484	50.3415	34.6626
26.8	0.00039072	0.00026903	14.9486	50.3415	34.6637
26.9	0.000379128	0.000261057	14.9489	50.3415	34.6648
27	0.000367879	0.00025332	14.9491	50.3415	34.6659
27.1	0.000356965	0.000245811	14.9493	50.3415	34.667
27.2	0.000346374	0.000238526	14.9496	50.3415	34.668
27.3	0.000336097	0.000231455	14.9498	50.3415	34.669
27.4	0.000326125	0.000224595	14.95	50.3415	34.67
27.5	0.000316449	0.000217937	14.9502	50.3415	34.6709
27.6	0.00030706	0.000211476	14.9504	50.3415	34.6718
27.7	0.00029795	0.000205207	14.9506	50.3415	34.6727
27.8	0.00028911	0.000199124	14.9508	50.3415	34.6736
27.9	0.000280532	0.000193221	14.9509	50.3415	34.6744
28	0.000272209	0.000187492	14.9511	50.3415	34.6752
28.1	0.000264132	0.000181934	14.9513	50.3415	34.676
28.2	0.000256296	0.00017654	14.9515	50.3415	34.6768
28.3	0.000248691	0.000171306	14.9516	50.3415	34.6775
28.4	0.000241313	0.000166227	14.9518	50.3415	34.6782
28.5	0.000234153	0.000161298	14.9519	50.3415	34.6789
28.6	0.000227206	0.000156515	14.9521	50.3415	34.6796
28.7	0.000220465	0.000151875	14.9522	50.3415	34.6803
28.8	0.000213923	0.000147371	14.9524	50.3415	34.6809
28.9	0.000207576	0.000143001	14.9525	50.3415	34.6815
29	0.000201418	0.000138761	14.9526	50.3415	34.6821
29.1	0.000195441	0.000134646	14.9527	50.3415	34.6827
29.2	0.000189643	0.000130653	14.9529	50.3415	34.6832
29.3	0.000184016	0.000126779	14.953	50.3415	34.6838
29.4	0.000178556	0.000123019	14.9531	50.3415	34.6843
29.5	0.000173259	0.000119371	14.9532	50.3415	34.6848
29.6	0.000168118	0.000115831	14.9533	50.3415	34.6853
29.7	0.00016313	0.000112396	14.9534	50.3415	34.6858
29.8	0.00015829	0.000109063	14.9535	50.3415	34.6863
29.9	0.000153593	0.000105828	14.9536	50.3415	34.6867
30	0.000149036	0.00010269	14.9537	50.3415	34.6872
30.1	0.000144614	9.96443e-05	14.9538	50.3415	34.6876
30.2	0.000140324	9.66891e-05	14.9539	50.3415	34.688
30.3	0.00013616	9.38214e-05	14.954	50.3415	34.6884
30.4	0.00013212	9.10388e-05	14.9541	50.3415	34.6888
30.5	0.0001282	8.83387e-05	14.9542	50.3415	34.6892
30.6	0.000124397	8.57186e-05	14.9542	50.3415	34.6896
30.7	0.000120706	8.31762e-05	14.9543	50.3415	34.6899
30.8	0.000117124	8.07092e-05	14.9544	50.3415	34.6903
30.9	0.000113649	7.83153e-05	14.9545	50.3415	34.6906
31	0.000110277	7.59924e-05	14.9545	50.3415	34.691
31.1	0.000107005	7.37384e-05	14.9546	50.3415	34.6913
31.2	0.00010383	7.15513e-05	14.9547	50.3415	34.6916
31.3	0.00010075	6.9429e-05	14.9547	50.3415	34.6919
31.4	9.77605e-05	6.73696e-05	14.9548	50.3415	34.6922
31.5	9.48599e-05	6.53713e-05	14.9549	50.3415	34.6925
31.6	9.20454e-05	6.34322e-05	14.9549	50.3415	34.6927
31.7	8.93144e-05	6.15506e-05	14.955	50.3415	34.693
31.8	8.66644e-05	5.97249e-05	14.955	50.3415	34.6932
31.9	8.40931e-05	5.79533e-05	14.9551	50.3415	34.6935
32	8.1598e-05	5.62342e-05	14.9551	50.3415	34.6937
32.1	7.9177e-05	5.45661e-05	14.9552	50.3415	34.694
32.2	7.68278e-05	5.29475e-05	14.9552	50.3415	34.6942
32.3	7.45483e-05	5.13768e-05	14.9553	50.3415	34.6944
32.4	7.23364e-05	4.98528e-05	14.9553	50.3415	34.6946
32.5	7.01902e-05	4.8374e-05	14.9554	50.3415	34.6948
32.6	6.81076e-05	4.6939e-05	14.9554	50.3415	34.6951
32.7	6.60869e-05	4.55466e-05	14.9555	50.3415	34.6952
32.8	6.41261e-05	4.41954e-05	14.9555	50.3415	34.6954
32.9	6.22234e-05	4.28844e-05	14.9556	50.3415	34.6956
33	6.03772e-05	4.16122e-05	14.9556	50.3415	34.6958
33.1	5.85858e-05	4.03778e-05	14.9556	50.3415	34.696
33.2	5.68476e-05	3.918e-05	14.9557	50.3415	34.6961
33.3	5.51609e-05	3.80177e-05	14.9557	50.3415	34.6963
33.4	5.35242e-05	3.68898e-05	14.9557	50.3415	34.6965
33.5	5.19362e-05	3.57955e-05	14.9558	50.3415	34.6966
33.6	5.03952e-05	3.47336e-05	14.9558	50.3415	34.6968
33.7	4.89e-05	3.37032e-05	14.9558	50.3415	34.6969
33.8	4.74491e-05	3.27033e-05	14.9559	50.3415	34.6971
33.9	4.60413e-05	3.17331e-05	14.9559	50.3415	34.6972
34	4.46752e-05	3.07917e-05	14.9559	50.3415	34.6973
34.1	4.33497e-05	2.98782e-05	14.9559	50.3415	34.6975
34.2	4.20635e-05	2.89919e-05	14.956	50.3415	34.6976
34.3	4.08154e-05	2.81318e-05	14.956	50.3415	34.6977
34.4	3.96044e-05	2.72972e-05	14.956	50.3415	34.6978
34.5	3.84294e-05	2.64874e-05	14.9561	50.3415	34.6979
34.6	3.72891e-05	2.57016e-05	14.9561	50.3415	34.698
34.7	3.61828e-05	2.49391e-05	14.9561	50.3415	34.6982
34.8	3.51092e-05	2.41992e-05	14.9561	50.3415	34.6983
34.9	3.40675e-05	2.34813e-05	14.9561	50.3415	34.6984
35	3.30567e-05	2.27846e-05	14.9562	50.3415	34.6985
35.1	3.20759e-05	2.21087e-05	14.9562	50.3415	34.6986
35.2	3.11242e-05	2.14528e-05	14.9562	50.3415	34.6986
35.3	3.02007e-05	2.08163e-05	14.9562	50.3415	34.6987
35.4	2.93047e-05	2.01987e-05	14.9562	50.3415	34.6988
35.5	2.84352e-05	1.95995e-05	14.9563	50.3415	34.6989
35.6	2.75915e-05	1.9018e-05	14.9563	50.3415	34.699
35.7	2.67729e-05	1.84538e-05	14.9563	50.3415	34.6991
35.8	2.59785e-05	1.79063e-05	14.9563	50.3415	34.6991
35.9	2.52077e-05	1.7375e-05	14.9563	50.3415	34.6992
36	2.44598e-05	1.68596e-05	14.9563	50.3415	34.6993
36.1	2.37341e-05	1.63594e-05	14.9564	50.3415	34.6994
36.2	2.30299e-05	1.5874e-05	14.9564	50.3415	34.6994
36.3	2.23466e-05	1.54031e-05	14.9564	50.3415	34.6995
36.4	2.16835e-05	1.49461e-05	14.9564	50.3415	34.6996
36.5	2.10402e-05	1.45026e-05	14.9564	50.3415	34.6996
36.6	2.04159e-05	1.40724e-05	14.9564	50.3415	34.6997
36.7	1.98102e-05	1.36549e-05	14.9564	50.3415	34.6997
36.8	1.92224e-05	1.32497e-05	14.9565	50.3415	34.6998
36.9	1.86521e-05	1.28566e-05	14.9565	50.3415	34.6999
37	1.80986e-05	1.24752e-05	14.9565	50.3415	34.6999
37.1	1.75617e-05	1.21051e-05	14.9565	50.3415	34.7
37.2	1.70406e-05	1.17459e-05	14.9565	50.3415	34.7
37.3	1.6535e-05	1.13974e-05	14.9565	50.3415	34.7001
37.4	1.60444e-05	1.10593e-05	14.9565	50.3415	34.7001
37.5	1.55684e-05	1.07312e-05	14.9565	50.3415	34.7002
37.6	1.51064e-05	1.04128e-05	14.9565	50.3415	34.7002
37.7	1.46582e-05	1.01039e-05	14.9566	50.3415	34.7002
37.8	1.42233e-05	9.80408e-06	14.9566	50.3415	34.7003
37.9	1.38013e-05	9.5132e-06	14.9566	50.3415	34.7003
38	1.33918e-05	9.23096e-06	14.9566	50.3415	34.7004
38.1	1.29945e-05	8.95708e-06	14.9566	50.3415	34.7004
38.2	1.26089e-05	8.69133e-06	14.9566	50.3415	34.7004
38.3	1.22348e-05	8.43347e-06	14.9566	50.3415	34.7005
38.4	1.18718e-05	8.18325e-06	14.9566	50.3415	34.7005
38.5	1.15196e-05	7.94046e-06	14.9566	50.3415	34.7005
38.6	1.11778e-05	7.70487e-06	14.9566	50.3415	34.7006
38.7	1.08461e-05	7.47627e-06	14.9566	50.3415	34.7006
38.8	1.05243e-05	7.25446e-06	14.9566	50.3415	34.7006
38.9	1.02121e-05	7.03922e-06	14.9566	50.3415	34.7007
39	9.90906e-06	6.83037e-06	14.9567	50.3415	34.7007
39.1	9.61505e-06	6.62772e-06	14.9567	50.3415	34.7007
39.2	9.32977e-06	6.43108e-06	14.9567	50.3415	34.7008
39.3	9.05295e-06	6.24027e-06	14.9567	50.3415	34.7008
39.4	8.78435e-06	6.05512e-06	14.9567	50.3415	34.7008
39.5	8.52371e-06	5.87547e-06	14.9567	50.3415	34.7008
39.6	8.27081e-06	5.70115e-06	14.9567	50.3415	34.7009
39.7	8.02542e-06	5.532e-06	14.9567	50.3415	34.7009
39.8	7.7873e-06	5.36786e-06	14.9567	50.3415	34.7009
39.9	7.55625e-06	5.2086e-06	14.9567	50.3415	34.7009
40	7.33205e-06	5.05406e-06	14.9567	50.3415	34.701
40.1	7.11451e-06	4.90411e-06	14.9567	50.3415	34.701
40.2	6.90341e-06	4.7586e-06	14.9567	50.3415	34.701
40.3	6.69858e-06	4.61741e-06	14.9567	50.3415	34.701
40.4	6.49982e-06	4.48041e-06	14.9567	50.3415	34.701
40.5	6.30696e-06	4.34747e-06	14.9567	50.3415	34.7011
40.6	6.11981e-06	4.21847e-06	14.9567	50.3415	34.7011
40.7	5.93822e-06	4.0933e-06	14.9567	50.3415	34.7011
40.8	5.76203e-06	3.97185e-06	14.9567	50.3415	34.7011
40.9	5.59106e-06	3.854e-06	14.9567	50.3415	34.7011
41	5.42517e-06	3.73965e-06	14.9567	50.3415	34.7011
41.1	5.26419e-06	3.62869e-06	14.9568	50.3415	34.7012
41.2	5.10799e-06	3.52102e-06	14.9568	50.3415	34.7012
41.3	4.95642e-06	3.41654e-06	14.9568	50.3415	34.7012
41.4	4.80936e-06	3.31517e-06	14.9568	50.3415	34.7012
41.5	4.66666e-06	3.2168e-06	14.9568	50.3415	34.7012
41.6	4.5282e-06	3.12136e-06	14.9568	50.3415	34.7012
41.7	4.39384e-06	3.02875e-06	14.9568	50.3415	34.7012
41.8	4.26348e-06	2.93889e-06	14.9568	50.3415	34.7013
41.9	4.13698e-06	2.85169e-06	14.9568	50.3415	34.7013
42	4.01423e-06	2.76708e-06	14.9568	50.3415	34.7013
42.1	3.89513e-06	2.68498e-06	14.9568	50.3415	34.7013
42.2	3.77956e-06	2.60532e-06	14.9568	50.3415	34.7013
42.3	3.66742e-06	2.52802e-06	14.9568	50.3415	34.7013
42.4	3.55861e-06	2.45301e-06	14.9568	50.3415	34.7013
42.5	3.45302e-06	2.38023e-06	14.9568	50.3415	34.7013
42.6	3.35057e-06	2.30961e-06	14.9568	50.3415	34.7013
42.7	3.25116e-06	2.24108e-06	14.9568	50.3415	34.7014
42.8	3.15469e-06	2.17459e-06	14.9568	50.3415	34.7014
42.9	3.06109e-06	2.11007e-06	14.9568	50.3415	34.7014
43	2.97027e-06	2.04746e-06	14.9568	50.3415	34.7014
43.1	2.88214e-06	1.98672e-06	14.9568	50.3415	34.7014
43.2	2.79663e-06	1.92777e-06	14.9568	50.3415	34.7014
43.3	2.71365e-06	1.87057e-06	14.9568	50.3415	34.7014
43.4	2.63313e-06	1.81507e-06	14.9568	50.3415	34.7014
43.5	2.55501e-06	1.76122e-06	14.9568	50.3415	34.7014
43.6	2.4792e-06	1.70896e-06	14.9568	50.3415	34.7014
43.7	2.40564e-06	1.65826e-06	14.9568	50.3415	34.7014
43.8	2.33426e-06	1.60906e-06	14.9568	50.3415	34.7014
43.9	2.26501e-06	1.56132e-06	14.9568	50.3415	34.7014
44	2.1978e-06	1.51499e-06	14.9568	50.3415	34.7015
