Results of Simulation 1

Time	Ccpt_out	Cmet_out	Qu_out	Q_fec_out	Qu_met_out
0	1e-15	1e-15	1e-15	1e-15	1e-15
0.1	0.0469196	0.000491981	0.0151476	3.38052	0.000705442
0.2	0.0892962	0.00186577	0.0586293	6.53403	0.00542321
0.3	0.127476	0.0039803	0.127672	9.47578	0.0175921
0.4	0.161782	0.00670974	0.219715	12.22	0.0400818
0.5	0.192512	0.0099416	0.332389	14.7799	0.07527
0.6	0.219944	0.0135764	0.463518	17.1679	0.125067
0.7	0.244337	0.0175257	0.611087	19.3956	0.190995
0.8	0.26593	0.0217114	0.773246	21.4737	0.274219
0.9	0.284945	0.0260649	0.948286	23.4122	0.375593
1	0.301589	0.0305256	1.13464	25.2205	0.495699
1.1	0.316054	0.035041	1.33086	26.9074	0.634877
1.2	0.328518	0.0395651	1.53562	28.4811	0.793259
1.3	0.339145	0.0440583	1.7477	29.9491	0.970797
1.4	0.348089	0.0484865	1.966	31.3184	1.16729
1.5	0.355491	0.0528206	2.18947	32.5959	1.38238
1.6	0.361483	0.057036	2.41719	33.7875	1.61564
1.7	0.366186	0.0611123	2.6483	34.8991	1.8665
1.8	0.369714	0.0650324	2.88202	35.9361	2.13435
1.9	0.372171	0.0687826	3.11763	36.9035	2.41848
2	0.373653	0.072352	3.35449	37.8059	2.71816
2.1	0.37425	0.0757324	3.592	38.6476	3.03259
2.2	0.374045	0.0789177	3.82963	39.4329	3.36096
2.3	0.373114	0.0819038	4.0669	40.1654	3.70243
2.4	0.371527	0.0846881	4.30337	40.8488	4.05615
2.5	0.369351	0.0872701	4.53864	41.4862	4.42126
2.6	0.366646	0.0896501	4.77235	42.0809	4.79691
2.7	0.363467	0.0918298	5.0042	42.6356	5.18224
2.8	0.359864	0.0938118	5.23388	43.153	5.5764
2.9	0.355887	0.0955997	5.46116	43.6358	5.97856
3	0.351578	0.0971976	5.68581	44.0861	6.38791
3.1	0.346976	0.0986105	5.90762	44.5061	6.80364
3.2	0.34212	0.0998435	6.12643	44.898	7.225
3.3	0.337043	0.100902	6.34209	45.2635	7.65121
3.4	0.331775	0.101793	6.55445	45.6045	8.08156
3.5	0.326347	0.102523	6.76342	45.9226	8.51534
3.6	0.320783	0.103097	6.9689	46.2194	8.95189
3.7	0.315107	0.103522	7.17081	46.4962	9.39056
3.8	0.309342	0.103806	7.36908	46.7544	9.83074
3.9	0.303507	0.103954	7.56367	46.9953	10.2718
4	0.29762	0.103974	7.75454	47.22	10.7133
4.1	0.291699	0.103872	7.94166	47.4296	11.1545
4.2	0.285758	0.103655	8.12501	47.6251	11.5951
4.3	0.279811	0.103329	8.30459	47.8075	12.0346
4.4	0.273871	0.102901	8.48039	47.9777	12.4724
4.5	0.267948	0.102377	8.65242	48.1364	12.9082
4.6	0.262053	0.101764	8.8207	48.2845	13.3416
4.7	0.256195	0.101066	8.98525	48.4226	13.7722
4.8	0.250382	0.10029	9.14609	48.5515	14.1997
4.9	0.244621	0.0994419	9.30326	48.6717	14.6237
5	0.23892	0.0985264	9.45678	48.7838	15.044
5.1	0.233283	0.0975491	9.60671	48.8884	15.4603
5.2	0.227715	0.0965148	9.75308	48.986	15.8722
5.3	0.222222	0.0954285	9.89594	49.077	16.2797
5.4	0.216807	0.0942948	10.0353	49.1619	16.6825
5.5	0.211474	0.093118	10.1713	49.2411	17.0804
5.6	0.206225	0.0919024	10.3039	49.315	17.4732
5.7	0.201063	0.0906521	10.4332	49.3839	17.8607
5.8	0.19599	0.0893708	10.5593	49.4482	18.2429
5.9	0.191007	0.0880623	10.6822	49.5082	18.6196
6	0.186116	0.0867299	10.8019	49.5642	18.9906
6.1	0.181319	0.0853771	10.9186	49.6164	19.356
6.2	0.176615	0.0840068	11.0322	49.6651	19.7156
6.3	0.172005	0.0826221	11.1429	49.7105	20.0693
6.4	0.16749	0.0812257	11.2507	49.7529	20.4171
6.5	0.163069	0.0798203	11.3557	49.7924	20.759
6.6	0.158742	0.0784084	11.4578	49.8293	21.0949
6.7	0.15451	0.0769922	11.5573	49.8637	21.4248
6.8	0.15037	0.075574	11.6541	49.8958	21.7487
6.9	0.146324	0.0741555	11.7483	49.9257	22.0665
7	0.14237	0.0727388	11.84	49.9536	22.3784
7.1	0.138507	0.0713257	11.9291	49.9797	22.6842
7.2	0.134735	0.0699178	12.0159	50.004	22.984
7.3	0.131052	0.0685166	12.1003	50.0267	23.2779
7.4	0.127457	0.0671235	12.1824	50.0478	23.5659
7.5	0.123949	0.0657399	12.2622	50.0675	23.8479
7.6	0.120527	0.0643669	12.3398	50.0859	24.1241
7.7	0.117189	0.0630057	12.4153	50.1031	24.3945
7.8	0.113934	0.0616574	12.4887	50.1191	24.6591
7.9	0.11076	0.0603228	12.56	50.134	24.9181
8	0.107667	0.0590028	12.6294	50.148	25.1714
8.1	0.104653	0.0576981	12.6968	50.161	25.4191
8.2	0.101716	0.0564094	12.7623	50.1731	25.6614
8.3	0.0988549	0.0551373	12.826	50.1844	25.8982
8.4	0.0960683	0.0538824	12.8879	50.195	26.1296
8.5	0.0933545	0.0526452	12.948	50.2048	26.3557
8.6	0.090712	0.0514262	13.0064	50.214	26.5766
8.7	0.0881394	0.0502256	13.0632	50.2225	26.7924
8.8	0.0856351	0.0490438	13.1184	50.2305	27.0032
8.9	0.0831977	0.0478812	13.172	50.238	27.2089
9	0.0808256	0.0467379	13.2241	50.2449	27.4098
9.1	0.0785175	0.045614	13.2747	50.2514	27.6058
9.2	0.0762718	0.0445098	13.3238	50.2575	27.7971
9.3	0.0740871	0.0434254	13.3716	50.2631	27.9838
9.4	0.071962	0.0423608	13.4179	50.2684	28.1659
9.5	0.069895	0.0413161	13.463	50.2733	28.3435
9.6	0.0678847	0.0402912	13.5067	50.2778	28.5168
9.7	0.0659299	0.0392861	13.5492	50.2821	28.6857
9.8	0.064029	0.0383008	13.5905	50.2861	28.8504
9.9	0.0621809	0.0373353	13.6305	50.2898	29.0109
10	0.0603841	0.0363893	13.6694	50.2933	29.1674
10.1	0.0586374	0.0354629	13.7072	50.2965	29.32
10.2	0.0569395	0.0345558	13.7439	50.2995	29.4686
10.3	0.0552891	0.0336679	13.7795	50.3024	29.6134
10.4	0.0536851	0.032799	13.8141	50.305	29.7545
10.5	0.0521263	0.031949	13.8477	50.3074	29.892
10.6	0.0506114	0.0311176	13.8804	50.3097	30.0258
10.7	0.0491393	0.0303046	13.912	50.3119	30.1562
