iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkufrac(1)	M_lnkumet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkufrac(1)	SD_lnkumet(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkufrac(1.1)	lnkumet(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkufrac(1.2)	lnkumet(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkufrac(1.3)	lnkumet(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkufrac(1.4)	lnkumet(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkufrac(1.5)	lnkumet(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkufrac(1.6)	lnkumet(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkufrac(1.7)	lnkumet(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkufrac(1.8)	lnkumet(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	LnPrior	LnData	LnPosterior
0	-0.974437	-1.40122	0.291118	-0.676847	-1.68342	2.37175	-0.621629	0.0734342	0.456978	0.0532722	0.0492204	0.0650196	0.178942	0.207752	1.12968	1.29613	1.29347	1.17902	1.28064	2.16682	0.766159	1.85431	0.416148	0.0362684	-0.258717	0.661485	-0.528999	-0.326156	1.02647	0.731451	0.0123892	0.11194	0.678083	0.143938	-0.634087	-0.228325	-1.29904	1.28358	0.0657904	1.6585	-0.177807	0.190554	-0.232935	0.552928	-0.656668	0.737828	-0.371137	1.25355	-1.28138	-0.487328	-1.12852	1.81793	-1.75313	0.310646	-1.24146	-0.102987	0.9141	1.06461	-0.804722	1.25536	-0.0216898	-1.91377	1.06139	-2.0728	-0.175353	0.0849898	0.43983	0.64359	-0.856579	0.741143	-1.27356	-0.737353	1.58426	-0.599032	-1.37172	-8.141159e+01	-1.238469e+05	-1.239284e+05
50	-0.735936	1.61015	-1.14664	-0.676847	-0.496874	0.502929	-0.143714	0.0932313	0.611503	0.0697518	0.170883	0.110482	0.358664	0.167906	1.21757	1.22602	1.11605	1.10086	1.17581	2.32365	-4.14525	-3.06526	-0.722353	-1.62455	-1.94218	0.890236	4.33391	-3.84191	-4.14591	-3.415	0.939181	-1.12928	0.725916	1.66035	-4.65922	0.74583	-3.47668	1.54114	-1.30281	1.82285	1.11963	-4.45748	-2.55682	-2.16406	-0.228292	-1.20419	0.692891	0.614906	-4.69655	1.60646	-2.28904	1.2007	-2.00084	1.39273	2.4847	-4.77008	-1.80731	-2.07511	0.0750973	-1.14064	-0.125179	0.834786	-4.55305	-0.100867	-1.80685	0.977006	-1.50815	-1.23419	-1.47967	-3.93146	4.57095	-1.6168	-3.01755	-0.65684	-0.960759	-2.264329e+02	5.151830e+02	2.887501e+02
100	-0.739991	1.60754	-1.1451	-0.779342	-0.479451	0.394408	-0.114211	0.0999542	0.648146	0.0807157	0.216457	0.127653	0.368262	0.149991	1.20065	1.23286	1.11335	1.10196	1.12043	2.04496	-3.84801	-2.47396	-0.316055	-1.26841	-2.06124	-0.435253	4.33391	-3.86234	-3.13805	-2.54148	-0.625554	-1.4063	0.509811	1.8995	-4.56842	0.856155	-2.5755	1.84088	-1.08736	1.45939	1.65297	-4.43851	-2.24461	-1.29502	-0.156771	-0.691854	0.0125431	0.265988	-4.30528	1.26095	-1.44926	0.13105	-1.69742	2.76743	2.42507	-4.48349	-1.52584	-1.57272	0.38282	-0.824451	-0.571833	0.974585	-4.1551	0.19621	-1.7275	-1.06979	-1.58104	-0.415478	-0.473972	-3.86901	4.14669	-1.24139	-2.77589	-0.626248	-0.407669	-1.991886e+02	5.497901e+02	3.506015e+02
150	-0.723868	1.57022	-1.1421	-0.755857	-0.487489	0.309127	-0.14448	0.100276	0.668903	0.08897	0.218723	0.125305	0.273186	0.162701	1.23407	1.2118	1.11745	1.10005	1.12571	1.8937	-3.79558	-2.30107	0.0233699	-0.833441	-2.10413	-1.16965	4.31768	-3.50378	-3.3572	-2.47251	-0.919841	-0.705687	0.995424	1.6316	-4.39676	0.806204	-2.5665	2.10605	-1.51475	0.902959	1.68959	-4.2629	-1.98046	-1.32004	-0.281348	-0.905781	0.376776	0.0873375	-4.16738	1.22139	-1.18491	0.202985	-2.14525	2.12762	2.27858	-4.32347	-1.57749	-1.26761	1.21161	-0.85713	-0.786826	0.752217	-4.00357	0.192024	-1.54742	-0.522159	-1.28328	0.452142	-1.20985	-3.58979	3.63083	-0.878896	-2.80892	-0.516944	-0.749235	-1.883769e+02	5.427866e+02	3.544097e+02
200	-0.715962	1.48243	-1.14748	-0.857764	-0.464869	0.210709	-0.0780654	0.0977273	0.666182	0.0937637	0.268573	0.186248	0.244721	0.0946422	1.20887	1.21876	1.10257	1.10138	1.11084	2.08789	-3.68183	-2.25442	0.072416	-0.81621	-1.86809	-1.46192	4.09446	-3.36969	-3.07909	-1.59904	-0.234583	-0.371067	0.843873	1.69127	-4.14534	0.487088	-1.73086	1.39396	-0.909612	2.09365	1.61022	-4.16377	-1.80604	-1.04499	-0.207071	-0.605971	0.442527	-0.554453	-4.05809	1.14317	-0.600635	1.36803	-2.01088	0.697677	2.46273	-4.25636	-1.15326	-0.785024	0.614715	-0.583452	-1.54042	1.24176	-3.96903	0.267731	-1.21035	-0.790775	-1.30845	0.75335	-0.870079	-3.60151	3.53952	-0.531011	-2.17022	0.0180257	-1.02208	-1.734229e+02	5.615325e+02	3.881096e+02
250	-0.714004	1.46635	-1.1503	-0.806322	-0.453493	0.05012	-0.130395	0.0959521	0.678068	0.100878	0.307403	0.195961	0.143472	0.194209	1.24156	1.21756	1.1093	1.10227	1.1073	1.9232	-3.45304	-2.1343	-0.250905	-0.845965	-1.81989	0.154007	4.1828	-3.2682	-2.58375	-1.69346	-0.631431	0.516037	1.49479	2.07722	-4.12989	0.580463	-1.78955	0.404733	-0.0255624	1.92834	1.64161	-4.07362	-1.51625	-0.951857	-0.378652	-0.986084	0.529269	-0.100612	-3.97725	1.06009	-0.813618	0.749951	-1.43734	1.29631	2.251	-3.98808	-1.06201	-0.87395	0.0637324	0.418758	-0.622952	0.83887	-3.75455	0.174579	-1.12292	-1.10864	-1.06411	0.525041	-1.32936	-3.4348	3.17322	-0.53693	-1.96523	1.38416	-1.02884	-1.631638e+02	5.490013e+02	3.858375e+02
300	-0.702546	1.42048	-1.13461	-0.76788	-0.430346	0.0388304	-0.0847672	0.0884311	0.68097	0.117474	0.310657	0.247055	0.143087	0.119593	1.27214	1.23028	1.1098	1.1026	1.10432	1.83641	-3.43088	-1.97076	-0.234963	-0.676434	-1.57557	-0.6562	4.15301	-3.13682	-2.33719	-1.55445	-0.238607	-0.41227	-0.266278	1.42526	-4.16677	0.569107	-1.68117	1.10013	-0.478079	0.987333	1.62105	-3.90763	-1.46085	-1.04342	-0.354032	0.0043764	0.209183	-0.402862	-3.78652	0.663965	-0.95169	0.262303	-1.62926	1.44746	2.39118	-4.12475	-0.878851	-1.2333	0.152083	0.0550667	-1.30749	0.624102	-3.7385	0.051965	-1.01581	-0.830107	-0.545749	-0.112056	-1.18131	-3.41162	2.58715	-0.513712	-1.66395	1.05479	-1.2363	-1.535872e+02	5.306202e+02	3.770330e+02
350	-0.692418	1.34349	-1.12219	-0.813302	-0.371149	-0.0469643	-0.055041	0.089868	0.694217	0.122128	0.335882	0.263816	0.0923056	0.183828	1.21397	1.23189	1.11222	1.1007	1.13797	1.87719	-3.27408	-1.79579	0.0120245	-0.962809	-3.08315	-1.30037	4.17539	-3.00217	-2.29812	-1.62417	-0.927196	0.701936	0.837268	1.65287	-3.95885	0.281415	-1.32262	1.12198	0.537355	0.27931	1.63845	-3.69247	-1.76156	-0.822001	-0.7079	1.42652	-0.00972673	-0.308582	-3.59857	0.521326	-0.802	0.0865523	-1.40941	0.82278	2.28699	-3.89774	-1.04785	-0.848795	-0.073306	-0.262225	-0.383879	0.859998	-3.60562	-0.0618903	-1.00215	-0.508099	-0.359637	-0.408435	-1.44874	-3.32162	2.5798	-0.326004	-1.84159	1.0521	-1.15216	-1.527851e+02	5.483251e+02	3.955401e+02
400	-0.675206	1.33412	-1.12531	-0.89984	-0.382916	-0.110529	-0.069313	0.0908599	0.71235	0.124189	0.296562	0.262728	0.199195	0.203951	1.1792	1.21157	1.1055	1.10335	1.13843	2.04217	-3.25193	-1.80477	0.0813425	-1.08668	-0.185948	0.0128479	4.11231	-2.9713	-2.37505	-1.40041	-0.740078	0.936015	1.07802	1.2843	-3.80794	0.446158	-1.44429	0.870427	-0.0637601	0.503886	1.28656	-3.68435	-1.48576	-0.630421	-0.683067	0.697858	0.315204	-0.729875	-3.47344	0.610999	-0.482686	0.442656	-0.329401	0.758022	1.70572	-3.69206	-1.00835	-0.606639	-0.209124	0.429723	-1.13965	0.82661	-3.49657	-0.118021	-0.690286	-0.53029	0.700782	-0.15861	-1.18548	-3.18197	2.51351	-0.324282	-1.67098	1.27972	-0.997571	-1.401873e+02	5.559563e+02	4.157691e+02
450	-0.65461	1.27452	-1.12746	-0.932482	-0.287946	-0.159449	-0.0446813	0.0855023	0.724207	0.130756	0.265744	0.315768	0.216712	0.121502	1.19934	1.26019	1.10335	1.10469	1.118	1.6134	-3.04142	-1.71956	0.374172	-1.294	-0.336893	0.318985	3.93286	-2.6377	-2.28127	-1.40343	-1.05361	0.402605	0.945187	1.22925	-3.60151	0.326741	-1.39376	0.219646	0.728151	1.03347	1.1674	-3.40953	-1.36701	-0.552882	-1.28048	0.943172	1.1185	-0.746129	-3.46015	0.74997	-0.64503	-0.000119771	-0.485113	0.463466	2.08049	-3.6012	-1.04307	-0.612154	-0.0418392	0.994892	-1.76997	0.398713	-3.2868	-0.109259	-0.654729	-1.06684	0.0992269	-0.760965	-1.42536	-3.086	2.39958	-0.351573	-1.75476	1.98086	-1.76613	-1.395989e+02	5.482974e+02	4.086985e+02
