iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkufrac(1)	M_lnkumet(1)	M_lnVdist(1)	M_lnVdistmet(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkufrac(1)	SD_lnkumet(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	GSD_Ccpt(1)	GSD_Cmet(1)	GSD_Qu(1)	GSD_Q_fec(1)	GSD_Qu_met(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkufrac(1.1)	lnkumet(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkufrac(1.2)	lnkumet(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkufrac(1.3)	lnkumet(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkufrac(1.4)	lnkumet(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkufrac(1.5)	lnkumet(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkufrac(1.6)	lnkumet(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkufrac(1.7)	lnkumet(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkufrac(1.8)	lnkumet(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	LnPrior	LnData	LnPosterior
0	-0.148257	0.883887	-1.95164	-3.12573	-1.43496	-1.57406	-0.258587	0.061332	0.14716	0.186468	0.29948	0.22857	0.132196	0.239593	1.11973	1.14322	1.10849	1.15121	1.13071	-0.148664	-0.47788	-0.183743	1.53838	0.588754	0.120246	-0.959339	0.496606	-0.0257187	0.247735	-0.314531	-0.642844	0.25953	-1.31937	-1.50794	0.826762	0.375686	0.0404698	-0.983902	0.753115	-0.624682	-0.0951719	0.28597	-0.64608	0.291878	0.703417	1.37437	-0.0290414	-0.593299	0.479206	0.521993	0.563452	-1.6179	-1.62677	-0.0826154	0.363071	-1.82339	-0.0260217	-0.446075	0.00237244	-0.0906851	0.718451	-1.76809	-0.545197	0.567857	-0.934581	-0.639759	-0.00602598	0.00557055	0.371178	0.813346	-1.83677	-0.742214	-0.766066	1.44347	1.20049	-7.342268e+01	-1.398564e+05	-1.399299e+05
50	-0.683386	-0.787645	-1.91178	-1.10842	-0.345589	0.598956	-0.258587	0.0686427	0.249234	0.228071	0.0918858	0.10708	0.216219	0.0549165	1.2958	1.22508	1.12433	1.10646	1.18736	2.11447	-0.533182	2.38944	3.43549	-1.09278	-3.44907	0.201041	5.53123	-0.168618	2.04101	-1.42337	-0.314681	-1.81395	1.80713	1.37577	-2.99235	3.92305	-0.254729	2.06064	-3.38374	-0.414639	0.992398	-1.99207	2.56556	1.35557	-1.04414	-2.11077	1.00151	-0.943336	-2.39784	3.97389	1.54726	1.6743	-3.77424	0.84176	2.26808	-2.28447	2.73699	0.908211	0.840114	-2.02486	-0.541924	0.553791	-1.6058	3.38795	0.261106	-0.0267903	-2.24866	-0.133213	-1.30604	-0.12099	4.44537	0.88422	-4.18284	-0.355636	-0.631374	-1.825425e+02	4.712417e+02	2.886993e+02
100	-0.661831	-0.78505	-1.90189	-1.09709	-0.360949	0.467778	-0.147882	0.0679912	0.264446	0.232748	0.0915293	0.119403	0.278006	0.128358	1.21235	1.21766	1.10166	1.10298	1.12525	2.11466	-0.871803	2.3491	2.88858	-2.24909	-2.70027	0.0320467	5.19269	-0.251862	2.01527	-1.79576	-0.924457	-1.78698	1.43822	1.38552	-2.51889	3.63581	-1.75295	1.21838	-1.85617	1.82757	1.07835	-1.62341	2.33432	0.370133	-0.71734	-1.35194	0.773307	-1.27001	-1.78428	3.80073	0.746175	0.494457	-2.66517	0.494573	2.56956	-2.22056	2.78123	-0.111644	-0.322167	-1.19271	0.139823	0.295879	-1.12675	3.25971	-0.042863	-1.46514	-2.38737	0.61435	-2.22515	-0.291431	4.6894	1.36038	-3.87392	-1.24187	-0.738567	-1.651815e+02	5.405351e+02	3.753536e+02
150	-0.654774	-0.847207	-1.89337	-1.0731	-0.371068	0.294072	-0.11024	0.0695529	0.296126	0.234102	0.128608	0.127023	0.305318	0.298218	1.22034	1.2147	1.10222	1.10024	1.11588	1.72874	-0.230524	2.28197	1.78418	-1.84013	-1.68462	0.0602097	5.19864	0.197997	1.968	-1.30041	-1.43563	-0.738982	0.634974	1.56905	-1.77509	3.49376	-1.70113	1.10411	-1.34519	0.475365	1.55925	-1.49539	2.43265	-0.0160314	-1.17261	-0.593341	0.524426	-1.12971	-1.23335	3.6347	0.401821	0.360161	-1.76269	0.671652	1.97131	-1.47328	2.78252	-0.272421	-0.802821	-1.17371	-0.541568	0.813606	-1.0796	3.29034	-0.955027	-1.57009	-1.21811	-0.222857	-1.96543	-0.621296	4.68159	0.839745	-3.62367	-0.653723	-0.565026	-1.429654e+02	5.556737e+02	4.127083e+02
200	-0.591437	-0.798724	-1.89134	-1.06355	-0.400407	0.162255	-0.092492	0.0743731	0.28949	0.241301	0.142935	0.151369	0.251052	0.158186	1.23898	1.21429	1.11824	1.10154	1.12583	1.18505	-0.585653	2.22172	1.48634	-2.20909	-1.62435	0.352741	3.82344	-0.0107755	1.85558	-1.40829	-0.529717	0.18676	0.477238	0.687582	-1.96572	3.43973	-1.92985	0.923851	-1.26981	0.846514	0.314518	-1.14606	2.30663	-0.112995	-1.46124	-0.319416	1.9214	-1.85061	-1.57588	3.59218	-0.0105212	1.02226	-1.25377	0.955669	1.77473	-1.83308	2.58365	-0.452205	0.0439942	-0.1384	-0.256643	-0.31161	-1.19818	3.14573	-0.530294	-1.01746	-0.615716	0.066289	-2.68752	-0.595305	4.49559	0.590379	-3.084	0.130294	-0.520065	-1.297201e+02	5.489107e+02	4.191906e+02
250	-0.585969	-0.84739	-1.88085	-1.07487	-0.423175	0.085586	-0.116288	0.0860848	0.31734	0.247021	0.12819	0.163158	0.194528	0.128579	1.2041	1.18983	1.10123	1.10107	1.10607	0.860422	-0.279077	2.05211	1.53482	-1.35908	-1.25097	1.53538	3.18094	0.248528	1.81458	-1.92197	-0.319325	-0.485914	0.905218	0.418121	-1.61011	3.20884	-1.90563	1.19418	-0.769142	1.35718	0.0901939	-1.0697	2.20144	0.0631294	-0.96464	0.0687634	0.90819	-1.70751	-1.39129	3.41421	0.264738	1.46803	-1.77026	0.231594	1.3558	-1.46635	2.47005	-0.406263	-0.05264	0.0547837	-0.453104	-0.392913	-1.03286	3.04905	-0.298762	-0.56989	-1.03343	-0.290233	-2.11446	-0.467224	4.35549	0.571169	-2.49898	0.395812	-0.684773	-1.171451e+02	5.572277e+02	4.400826e+02
300	-0.606742	-0.949599	-1.86346	-1.05511	-0.36125	0.0425858	-0.0254804	0.0982222	0.298173	0.25097	0.269776	0.198313	0.260356	0.185699	1.19863	1.22486	1.11334	1.10114	1.11568	0.834416	0.306574	2.00469	0.809366	-1.61414	-0.964212	-0.429555	3.25361	0.451928	1.68563	-1.03977	-0.875584	0.283126	0.88995	0.786437	-1.26518	3.07784	-1.03712	0.140546	-0.326132	 1.41	0.862849	-1.35448	2.1381	-0.238688	-1.07424	0.384763	0.566827	-1.14915	-1.01067	3.28989	0.0726296	-0.0580706	-1.13082	1.27642	1.37293	-1.17384	2.40026	-0.173312	-0.429174	-0.0430909	-0.806397	-0.15121	-0.441969	2.80755	-0.227563	-0.783406	0.170161	-0.165824	-2.10822	0.087364	4.24485	0.3167	-2.51129	0.419281	-1.38568	-1.084812e+02	5.606596e+02	4.521784e+02
350	-0.60614	-0.947988	-1.84848	-1.06994	-0.34647	-0.00645599	-0.203179	0.104155	0.303204	0.244279	0.144468	0.208449	0.230135	0.2394	1.19733	1.24785	1.10251	1.10294	1.1213	0.971631	0.181495	1.91675	1.29298	-1.4493	-0.396897	0.891019	3.03666	0.384599	1.73628	-1.51097	-0.780998	0.436784	1.22565	0.604971	-1.47824	3.15283	-1.5998	0.383029	-0.205531	1.34928	0.379751	-0.936098	2.11778	0.229489	-0.747778	0.429758	0.771967	-1.04212	-0.89408	3.26232	-0.149038	0.0175733	-1.39189	1.40356	1.13388	-1.22937	2.32904	-0.292147	0.172193	0.473831	-0.10253	-0.102385	-0.727773	2.89539	-0.407748	-0.875916	0.185512	0.754134	-2.00223	0.100745	4.32373	0.236358	-2.39521	0.214063	-0.351438	-1.077428e+02	5.532152e+02	4.454723e+02
400	-0.568716	-0.939587	-1.8185	-1.13838	-0.374081	0.0355959	-0.188298	0.10723	0.289451	0.240506	0.114657	0.201619	0.109293	0.16709	1.17823	1.25453	1.10118	1.1057	1.13146	0.604911	-0.124121	1.96521	2.65103	-0.99009	-2.02143	-0.141739	2.4717	0.598924	1.63424	-0.954292	-0.554795	-0.862672	1.37582	0.259285	-1.60614	3.06719	-0.987393	0.995826	-0.722924	1.20778	-0.0579368	-1.07959	2.11022	0.972145	-0.737437	0.296145	0.780896	-1.55392	-0.700654	3.25005	0.424168	-0.224776	-1.91757	1.41174	0.785713	-1.35453	2.30415	0.488329	-0.235383	0.416396	-0.0830687	-0.11659	-0.646534	2.83846	-0.247589	-1.21136	-0.495061	0.803961	-2.18065	0.141348	4.19001	1.51309	-2.33302	0.674765	-0.420848	-1.105456e+02	5.482728e+02	4.377271e+02
450	-0.546877	-0.90052	-1.83416	-1.17624	-0.388548	-0.0466368	-0.183216	0.125685	0.330795	0.240706	0.113004	0.165362	0.210198	0.134322	1.21382	1.20519	1.11019	1.10135	1.12529	0.218648	-0.071985	2.00427	2.99845	-1.09925	-0.289165	-0.241114	2.00467	0.352049	1.66156	-0.945067	-1.15751	0.446895	2.93309	-0.0247811	-1.59731	3.04875	-0.457838	1.39189	0.0677541	1.35406	-0.149414	-1.12457	2.08638	0.938466	-0.343503	0.480845	0.465484	-1.61786	-0.81759	3.32313	1.14449	0.469385	-1.023	1.19262	0.330487	-1.38148	2.42882	0.57102	0.0254896	0.183715	-0.496978	-0.425974	-0.749708	2.83183	0.503581	-0.607638	0.264725	-0.135853	-1.9422	0.0397215	4.12501	1.7348	-2.56091	1.49301	-0.886911	-1.123265e+02	5.449201e+02	4.325936e+02
