Iter	lnFgutabs	lnkgutelim	lnktot	lnkufrac	lnkumet	lnVdist	lnVdistmet	Ccpt_out_1.1	Ccpt_out_1.2	Ccpt_out_1.3	Ccpt_out_1.4	Ccpt_out_1.5	Ccpt_out_1.6	Ccpt_out_1.7	Ccpt_out_1.8	Ccpt_out_1.9	Ccpt_out_1.10	Ccpt_out_1.11	Cmet_out_1.1	Cmet_out_1.2	Cmet_out_1.3	Cmet_out_1.4	Cmet_out_1.5	Cmet_out_1.6	Cmet_out_1.7	Cmet_out_1.8	Cmet_out_1.9	Cmet_out_1.10	Cmet_out_1.11	Qu_out_1.1	Qu_out_1.2	Qu_out_1.3	Qu_out_1.4	Qu_out_1.5	Qu_out_1.6	Qu_out_1.7	Qu_out_1.8	Qu_out_1.9	Qu_out_1.10	Qu_out_1.11	Q_fec_out_1.1	Q_fec_out_1.2	Q_fec_out_1.3	Q_fec_out_1.4	Q_fec_out_1.5	Q_fec_out_1.6	Q_fec_out_1.7	Q_fec_out_1.8	Q_fec_out_1.9	Q_fec_out_1.10	Q_fec_out_1.11	Qu_met_out_1.1	Qu_met_out_1.2	Qu_met_out_1.3	Qu_met_out_1.4	Qu_met_out_1.5	Qu_met_out_1.6	Qu_met_out_1.7	Qu_met_out_1.8	Qu_met_out_1.9	Qu_met_out_1.10	Qu_met_out_1.11
0	0.762616	0.507676	-0.801037	1.61145	-1.08801	-1.29571	-0.204294	0.212571	0.36831	0.556616	0.652735	0.49463	0.312618	0.189759	0.0683053	0.00314065	0.000144673	6.62835e-06	0.00322751	0.0112587	0.0343691	0.0811517	0.118905	0.104006	0.0756367	0.0322009	0.00162687	7.53496e-05	3.45357e-06	0.160817	0.585267	1.95096	5.55866	12.3283	16.9285	19.7693	22.512	23.9758	24.0431	24.0462	8.65178	15.5281	25.3369	35.4467	41.0904	41.989	42.1322	42.1586	42.1593	42.1593	42.1593	0.00912973	0.0659727	0.432335	2.35887	9.33594	16.8021	22.7009	29.4742	33.586	33.7848	33.794
1	1.98669	1.45939	-1.18288	-0.792034	-0.822249	0.344826	1.2879	0.344936	0.545295	0.706531	0.67449	0.437908	0.272714	0.169529	0.0655013	0.00377631	0.000217743	1.2586e-05	0.00655731	0.0214361	0.0583815	0.115777	0.138751	0.110813	0.0776779	0.03309	0.00199209	0.00011505	6.65048e-06	0.214778	0.735666	2.21391	5.4643	10.5363	13.7353	15.7251	17.7307	18.9208	18.9894	18.9933	9.43906	15.4665	21.7731	25.3929	26.0952	26.1146	26.1151	26.1151	26.1151	26.1151	26.1151	0.0268386	0.184695	1.11082	5.3064	17.8838	29.6592	38.4104	48.2449	54.5005	54.8687	54.89
2	0.930972	-1.71389	0.559067	-0.894326	0.803771	0.112902	1.17914	0.114622	0.203573	0.321464	0.402776	0.322361	0.198324	0.110981	0.0311399	0.000565862	9.9428e-06	1.67373e-07	0.00286057	0.00996385	0.0302588	0.0701125	0.0960245	0.0760801	0.0489754	0.0156773	0.000305847	5.39071e-06	9.07547e-08	0.0905866	0.335128	1.15015	3.42774	7.98314	11.1215	12.9584	14.4963	15.0567	15.0667	15.0669	5.75355	10.6832	18.5258	28.5096	36.7903	39.1947	39.8929	40.1545	40.1785	40.1785	40.1785	0.0155833	0.112496	0.734939	3.96859	15.2037	26.2934	34.1516	41.6705	44.6972	44.7536	44.7546
3	0.517892	-1.16719	-0.599019	0.868911	-0.122875	-0.0258427	-0.491369	0.109235	0.195802	0.315156	0.411339	0.360883	0.24638	0.154546	0.0556704	0.00228923	9.28064e-05	3.73866e-06	0.00253717	0.00897994	0.0281542	0.0695385	0.108264	0.0975878	0.0715655	0.0298551	0.00132348	5.3792e-05	2.16713e-06	0.09448	0.351609	1.22097	3.724	9.0578	13.1017	15.739	18.3364	19.6806	19.7354	19.7376	6.41942	11.9215	20.6792	31.8391	41.1127	43.813	44.5992	44.8947	44.9221	44.9221	44.9221	0.00818709	0.0597932	0.399805	2.25571	9.34878	17.2668	23.6398	30.9368	35.1539	35.3326	35.3399
4	-0.10579	-0.708325	0.887057	0.166884	0.371622	-1.57902	1.23058	0.125	0.222078	0.35078	0.439049	0.348458	0.210997	0.115429	0.0304643	0.00043244	5.8139e-06	8.50252e-08	0.00217365	0.00760946	0.0233323	0.0550114	0.0774342	0.0623828	0.0404228	0.0127467	0.000205538	2.79288e-06	4.01528e-08	0.0929714	0.344035	1.18106	3.51946	8.17832	11.3503	13.1721	14.6439	15.1339	15.1406	15.1407	7.0585	13.1473	22.9306	35.6276	46.5509	49.9001	50.9271	51.3385	51.3811	51.3811	51.3811	0.0109574	0.079406	0.522458	2.85663	11.1504	19.5117	25.506	31.2384	33.4445	33.4777	33.4781
5	0.874131	-1.11632	-0.259126	0.756813	0.258697	0.0796484	-0.810999	0.126209	0.223842	0.352932	0.443029	0.36262	0.233254	0.138913	0.0457617	0.00149098	4.82465e-05	1.57231e-06	0.00345721	0.0121016	0.037127	0.0879166	0.126477	0.106115	0.0729534	0.0272513	0.000937183	3.03612e-05	9.89319e-07	0.117112	0.432825	1.48341	4.4189	10.3507	14.5724	17.177	19.5793	20.6882	20.7242	20.7253	6.43139	11.8503	20.2634	30.4763	38.219	40.1853	40.6847	40.8438	40.8547	40.8547	40.8547	0.0113278	0.0820782	0.540121	2.95888	11.66	20.6979	27.4999	34.6734	38.2952	38.4158	38.4198
6	0.65344	-0.632822	0.277099	0.710962	0.207448	-0.374487	-0.511265	0.136113	0.239667	0.372421	0.453917	0.349778	0.211537	0.118306	0.0343009	0.00075879	1.66696e-05	3.5411e-07	0.00359779	0.0125394	0.038133	0.0886625	0.12264	0.0985102	0.0645711	0.0216777	0.000515167	1.13422e-05	2.40981e-07	0.127533	0.469148	1.5934	4.66648	10.6149	14.6021	16.9146	18.872	19.6324	19.6491	19.6495	7.06276	12.9764	22.0737	32.9226	40.8753	42.7968	43.2608	43.3999	43.4085	43.4085	43.4085	0.0124032	0.0895829	0.585808	3.17009	12.2061	21.2273	27.7197	34.1104	36.8773	36.9406	36.942
7	-0.419325	0.670276	1.85627	1.24249	-1.75964	1.3492	-1.82007	0.0792077	0.136906	0.204793	0.230411	0.149062	0.0743612	0.0338296	0.00631199	3.4414e-05	1.85055e-07	4.36152e-10	0.00506817	0.017751	0.0544909	0.128842	0.182617	0.148101	0.0963407	0.0301562	0.000400411	3.59391e-06	1.88272e-08	0.160787	0.584508	1.93954	5.43316	11.4294	14.7884	16.3871	17.4075	17.6323	17.6336	17.6336	9.13663	16.7369	28.3185	41.8785	51.4807	53.6817	54.1861	54.3283	54.3362	54.3362	54.3362	0.00906238	0.0656932	0.432561	2.36942	9.28534	16.3037	21.3627	26.2041	28.0088	28.03	28.0302
